Ticker,Name,Price,Score,Signal,Strength,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,AUM,Expense,Yield,Beta
EWW,iShares MSCI Mexico ETF,$80.61,75,STRONG BUY,5,69.5,Bear,41.8,99.4,0.42x,+23.7%,19.6%,2.97,-5.6%,+13.4%,+21.1%,+33.5%,$2.11B,N/A,3.21%,N/A
PICK,iShares MSCI Global Metals & M,$60.73,75,STRONG BUY,5,61.3,Bear,42.8,53.7,0.08x,+45.5%,24.5%,3.67,-7.3%,+11.6%,+35.9%,+55.3%,$1.79B,N/A,1.67%,N/A
EWL,iShares MSCI Switzerland ETF,$63.53,70,STRONG BUY,5,66.9,Bear,19.8,99.5,0.25x,+9.6%,12.9%,2.69,-4.7%,+4.9%,+14.0%,+19.4%,$1.66B,N/A,1.66%,N/A
EWD,iShares MSCI Sweden ETF,$53.29,70,STRONG BUY,5,60.8,Bear,29.4,85.0,0.16x,+9.5%,15.1%,2.29,-7.8%,+5.0%,+14.2%,+19.3%,$0.33B,N/A,3.08%,N/A
EWA,iShares MSCI Australia ETF,$28.79,70,STRONG BUY,5,68.5,Bear,36.8,99.3,0.15x,+0.1%,14.2%,1.27,-9.5%,+9.7%,+10.8%,+9.9%,$1.28B,N/A,3.04%,N/A
EWC,iShares MSCI Canada ETF,$55.83,65,BUY,4,58.0,Bear,20.1,60.5,0.31x,+9.3%,13.8%,2.49,-4.2%,+2.2%,+12.4%,+19.1%,$4.02B,N/A,1.44%,N/A
EWQ,iShares MSCI France ETF,$46.83,65,BUY,4,64.3,Bear,14.8,97.6,0.25x,+1.3%,13.2%,1.52,-5.2%,+2.1%,+7.5%,+11.1%,$0.39B,N/A,2.60%,N/A
EWN,iShares MSCI Netherlands ETF,$62.85,65,BUY,4,59.6,Bear,24.6,67.7,0.08x,+14.8%,16.8%,2.61,-7.0%,+4.1%,+13.0%,+24.6%,$0.36B,N/A,4.60%,N/A
EEM,iShares MSCI Emerging Markets ,$60.54,65,BUY,4,65.9,Bear,33.8,86.6,0.29x,+14.8%,15.1%,2.87,-5.2%,+6.0%,+12.6%,+24.6%,$26.95B,N/A,2.05%,N/A
EWJ,iShares MSCI Japan ETF,$91.07,65,BUY,4,74.5,Bear,24.9,99.4,0.36x,+11.6%,16.8%,2.30,-5.9%,+7.6%,+13.4%,+21.4%,$16.69B,N/A,4.27%,N/A
EWT,iShares MSCI Taiwan ETF,$70.79,65,BUY,4,65.3,Bear,31.1,82.9,0.32x,+13.0%,20.6%,2.02,-8.1%,+7.4%,+14.6%,+22.8%,$7.68B,N/A,1.45%,N/A
EWI,iShares MSCI Italy ETF,$57.56,65,BUY,4,64.8,Bear,23.9,96.9,0.26x,+6.9%,14.0%,2.15,-6.1%,+4.6%,+11.7%,+16.7%,$0.72B,N/A,2.72%,N/A
GREK,Global X MSCI Greece ETF,$74.76,65,BUY,4,61.8,Bear,44.3,66.7,0.67x,+6.4%,17.8%,1.68,-7.1%,+8.4%,+22.4%,+16.2%,$0.34B,N/A,3.09%,N/A
EWS,iShares MSCI Singapore ETF,$28.48,55,WEAK BUY,3,55.8,Bear,14.2,52.9,0.65x,-1.4%,14.2%,1.08,-7.3%,+0.6%,+2.7%,+8.4%,$0.77B,N/A,3.99%,N/A
TUR,iShares MSCI Turkey ETF,$41.53,55,WEAK BUY,3,73.3,Bear,46.5,91.9,0.54x,+10.6%,20.5%,1.84,-11.3%,+11.8%,+23.9%,+20.4%,$0.35B,N/A,1.99%,N/A
EWS,iShares MSCI Singapore ETF,$28.48,55,WEAK BUY,3,55.8,Bear,14.2,52.9,0.65x,-1.4%,14.2%,1.08,-7.3%,+0.6%,+2.7%,+8.4%,$0.77B,N/A,3.99%,N/A
ARGT,Global X MSCI Argentina ETF,$93.74,55,WEAK BUY,3,47.0,Bear,16.9,18.7,0.22x,+1.6%,44.2%,0.66,-21.6%,-0.8%,+5.3%,+11.4%,$0.88B,N/A,0.78%,N/A
EPHE,iShares MSCI Philippines ETF,$26.54,55,WEAK BUY,3,58.8,Bear,25.3,79.4,0.49x,-7.6%,17.6%,0.22,-13.1%,+1.6%,+12.5%,+2.2%,$0.16B,N/A,2.01%,N/A
EZU,iShares MSCI Eurozone ETF,$68.26,55,WEAK BUY,3,65.1,Bear,24.1,98.5,0.26x,+6.3%,12.3%,2.36,-5.8%,+3.5%,+11.6%,+16.1%,$9.56B,N/A,2.75%,N/A
EWY,iShares MSCI South Korea ETF,$125.97,55,WEAK BUY,3,70.5,Bear,49.2,94.8,0.38x,+66.6%,28.8%,4.05,-12.2%,+15.7%,+40.3%,+76.4%,$12.20B,N/A,1.64%,N/A
ENZL,iShares MSCI New Zealand ETF,$47.88,50,HOLD,0,66.5,Bear,22.2,96.1,1.11x,-3.9%,11.6%,0.88,-7.5%,+4.1%,+6.4%,+5.9%,$0.07B,N/A,2.15%,N/A
EWG,iShares MSCI Germany ETF,$44.23,35,SELL,-4,61.1,Bear,14.8,91.5,0.16x,-4.3%,12.7%,0.75,-8.8%,+1.9%,+9.3%,+5.5%,$1.76B,N/A,1.58%,N/A
ERUS,iShares MSCI Russia ETF,$0.03,35,SELL,-4,0.0,Bear,78.9,100.0,1.00x,-107.9%,142.6%,-1.44,-99.6%,+0.3%,-99.6%,+0.0%,$0.00B,N/A,595.28%,N/A
VNM,VanEck Vietnam ETF,$18.00,35,SELL,-4,37.1,Bear,18.2,7.3,0.59x,-5.4%,26.7%,0.39,-15.1%,-6.6%,+6.9%,+4.4%,$0.65B,N/A,0.20%,N/A
TQQQ,ProShares UltraPro QQQ,$51.60,30,STRONG SELL,-5,45.7,Bear,19.3,41.5,0.38x,+3.5%,47.1%,0.73,-23.0%,-7.5%,-2.3%,+13.3%,$28.96B,N/A,0.63%,N/A
