Ticker,Name,Sector,Price,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
VRTX,Vertex Pharmaceuticals In,Healthcare,$465.02,60,BUY,03/07,FALSE,50.8,Bear,15,34.7,1.16x,13.70%,24.80%,1.34,-9.30%,3.40%,7.10%,19.10%,$119.23B,30.39,$15.30,N/A,0.32
VRSK,"Verisk Analytics, Inc.",Industrials,$179.00,60,BUY,02/07,FALSE,27.7,Bear,47.4,25.9,2.84x,-35.70%,29.90%,-2.49,-37.70%,-20.10%,-15.80%,-32.90%,$25.01B,27.54,$6.50,1.00%,0.8
KLAC,KLA Corporation,Technology,$1450.85,60,BUY,02/07,FALSE,52,Bear,16.9,40.6,0.72x,49.60%,49.30%,1.95,-22.40%,1.10%,21.20%,52.40%,$190.63B,42.19,$34.39,0.50%,1.46
MDLZ,"Mondelez International, I",Consumer Defensive,$61.86,60,BUY,07/07,TRUE,73.6,Bear,29.8,87.4,0.99x,-2.60%,19.80%,0.12,-18.60%,8.10%,9.50%,2.40%,$79.82B,32.73,$1.89,3.16%,0.4
TECH,Bio-Techne Corporation,Healthcare,$59.54,60,BUY,01/07,FALSE,36.3,Bear,22.7,12.6,1.10x,5.40%,39.10%,0.59,-16.60%,-13.00%,-2.90%,11.10%,$9.32B,112.34,$0.53,0.50%,1.47
ISRG,"Intuitive Surgical, Inc.",Healthcare,$478.60,60,BUY,03/07,FALSE,28.9,Bear,35.1,18.6,1.23x,-4.50%,33.30%,0.05,-19.70%,-12.50%,-16.40%,0.30%,$169.97B,60.97,$7.85,N/A,1.66
DXCM,"DexCom, Inc.",Healthcare,$65.08,60,BUY,02/07,FALSE,31.1,Bear,27.8,1.9,1.33x,-22.40%,41.00%,-0.84,-33.30%,-6.60%,9.20%,-18.60%,$25.52B,31.14,$2.09,N/A,1.49
INTC,Intel Corporation,Technology,$46.48,55,WEAK BUY,03/07,FALSE,50,Bear,20,45.6,0.63x,105.40%,72.10%,2.37,-21.80%,-4.60%,22.70%,94.80%,$232.18B,N/A,$-0.06,N/A,1.38
HOLX,"Hologic, Inc.",Healthcare,$74.91,55,WEAK BUY,03/07,FALSE,50.6,Bear,15.9,47.7,1.05x,4.80%,18.00%,0.89,-7.90%,-0.30%,0.50%,10.10%,$16.72B,31.08,$2.41,N/A,0.73
CHTR,"Charter Communications, I",Communication Servic,$238.08,55,WEAK BUY,07/07,TRUE,66.5,Bear,35.6,83.8,0.65x,-15.20%,34.90%,-0.59,-35.30%,17.70%,11.70%,-9.50%,$30.81B,6.57,$36.21,N/A,1.05
NFLX,"Netflix, Inc.",Communication Servic,$75.86,55,WEAK BUY,03/07,FALSE,23.3,Bear,30.3,5.4,1.33x,-40.80%,29.90%,-3.01,-39.90%,-14.30%,-34.50%,-38.40%,$321.79B,29.98,$2.53,N/A,1.71
STZ,"Constellation Brands, Inc",Consumer Defensive,$162.36,55,WEAK BUY,05/07,TRUE,58.8,Bear,43.5,64,0.86x,-7.10%,28.70%,-0.16,-24.10%,4.50%,25.30%,-2.80%,$28.27B,25.53,$6.36,2.49%,0.44
HSAI,Hesai Group,Consumer Cyclical,$25.09,55,WEAK BUY,02/07,FALSE,49.2,Bear,23.6,43.4,0.93x,3.90%,74.30%,0.54,-49.60%,-5.70%,16.50%,7.60%,$4.03B,54.54,$0.46,N/A,1.15
TTWO,Take-Two Interactive Soft,Communication Servic,$190.36,55,WEAK BUY,01/07,FALSE,27,Bear,42.4,1.8,1.59x,-23.10%,30.20%,-1.34,-27.40%,-22.50%,-20.80%,-18.40%,$35.25B,N/A,$-22.58,N/A,0.93
NVDA,NVIDIA Corporation,Technology,$186.94,55,WEAK BUY,05/07,TRUE,51.6,Bear,12,67.8,1.07x,-0.80%,34.80%,0.28,-17.40%,2.10%,-3.50%,2.70%,$4551.43B,46.27,$4.04,0.02%,2.31
NVAX,"Novavax, Inc.",Healthcare,$8.42,55,WEAK BUY,04/07,TRUE,50.2,Bear,27.9,24.6,0.68x,-8.60%,64.90%,0.13,-35.90%,2.80%,16.90%,-10.70%,$1.37B,4.19,$2.01,N/A,2.58
VRSN,"VeriSign, Inc.",Technology,$218.15,50,HOLD,02/07,FALSE,28.9,Bear,27.3,20.5,1.31x,-21.70%,23.60%,-1.64,-25.20%,-12.50%,-12.60%,-17.80%,$20.22B,24.76,$8.81,1.07%,0.75
MDB,"MongoDB, Inc.",Technology,$356.74,50,HOLD,03/07,FALSE,43,Bear,26.7,35.2,1.00x,68.20%,75.60%,1.74,-25.90%,-7.80%,-2.40%,74.60%,$29.04B,N/A,$-0.82,N/A,1.39
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$95.21,50,HOLD,05/07,TRUE,48.6,Bear,25.8,37.6,0.92x,-11.00%,19.90%,-0.76,-16.20%,0.20%,-2.90%,-6.20%,$80.37B,32.06,$2.97,N/A,0.62
COST,Costco Wholesale Corporat,Consumer Defensive,$998.86,50,HOLD,07/07,TRUE,64,Bear,32.9,86.4,1.18x,-1.40%,19.10%,0.23,-14.40%,5.20%,9.40%,2.70%,$443.45B,53.47,$18.68,0.52%,1.01
PAYC,"Paycom Software, Inc.",Technology,$119.76,50,HOLD,02/07,FALSE,24.4,Bear,41.8,32.2,2.99x,-49.50%,33.60%,-3.52,-49.00%,-22.50%,-28.40%,-44.30%,$6.58B,14.82,$8.08,N/A,N/A
TSLA,"Tesla, Inc.",Consumer Cyclical,$417.07,50,HOLD,03/07,FALSE,44.7,Bear,24,51.4,1.00x,19.10%,44.70%,1.1,-18.90%,-5.00%,-3.10%,24.30%,$1565.03B,386.18,$1.08,N/A,1.89
AMZN,"Amazon.com, Inc.",Consumer Cyclical,$199.60,45,WEAK SELL,0/7,FALSE,23.5,Bear,24.1,4.1,1.41x,-14.90%,31.30%,-0.66,-21.40%,-15.70%,-18.30%,-13.60%,$2142.69B,27.84,$7.17,N/A,1.39
CDNS,"Cadence Design Systems, I",Technology,$288.33,45,WEAK SELL,02/07,FALSE,42.5,Bull,19.9,41,1.57x,-21.20%,33.80%,-1.02,-28.10%,-7.90%,-8.60%,-17.40%,$78.57B,74.12,$3.89,N/A,1
INTU,Intuit Inc.,Technology,$397.96,45,WEAK SELL,01/07,FALSE,18.8,Bear,56,3.8,1.04x,-47.60%,33.50%,-3.33,-44.30%,-29.80%,-39.50%,-43.80%,$110.79B,27.31,$14.57,1.08%,1.23
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$617.20,45,WEAK SELL,01/07,FALSE,28.3,Bear,28.3,1.2,1.16x,-10.80%,32.40%,-0.36,-19.50%,-13.10%,-13.50%,-5.60%,$49.38B,47.19,$13.08,N/A,1.66
ZS,"Zscaler, Inc.",Technology,$170.90,45,WEAK SELL,01/07,FALSE,25.6,Bear,42,12.1,1.10x,-42.20%,39.30%,-2.32,-50.20%,-20.20%,-46.10%,-36.90%,$27.25B,N/A,$-0.26,N/A,1.02
PCRX,"Pacira BioSciences, Inc.",Healthcare,$21.45,45,WEAK SELL,05/07,TRUE,48.3,Bear,25.7,73.6,0.81x,-18.10%,38.70%,-0.66,-29.60%,-3.60%,-10.10%,-14.20%,$0.92B,45.64,$0.47,N/A,0.23
PDD,PDD Holdings Inc.,Consumer Cyclical,$100.22,45,WEAK SELL,01/07,FALSE,34.1,Bear,18.9,5.5,1.26x,-17.80%,30.70%,-0.9,-27.40%,-7.10%,-26.30%,-12.70%,$142.28B,10.05,$9.97,N/A,-0.01
PYPL,"PayPal Holdings, Inc.",Financial Services,$39.08,45,WEAK SELL,01/07,FALSE,16.7,Bear,50.5,3.3,0.97x,-48.30%,41.90%,-2.63,-48.50%,-32.20%,-41.70%,-43.50%,$36.57B,7.22,$5.41,0.69%,1.42
TCOM,Trip.com Group Limited,Consumer Cyclical,$54.46,45,WEAK SELL,02/07,FALSE,27.7,Bear,33.7,1.3,1.33x,-15.70%,42.80%,-0.43,-31.00%,-13.30%,-27.00%,-9.70%,$35.60B,14.52,$3.75,N/A,-0.18
SHAK,Shake Shack Inc.,Consumer Cyclical,$88.93,45,WEAK SELL,02/07,FALSE,44.1,Bear,20.7,18.6,1.09x,-21.50%,39.90%,-0.83,-27.90%,-11.00%,-5.10%,-15.80%,$3.80B,87.19,$1.02,N/A,1.75
UPLD,"Upland Software, Inc.",Technology,$0.99,45,WEAK SELL,02/07,FALSE,18.9,Bear,37.2,2.9,0.87x,-51.20%,69.40%,-1.54,-66.40%,-33.30%,-43.70%,-46.30%,$0.03B,N/A,$-1.75,N/A,1.22
TTD,"The Trade Desk, Inc.",Communication Servic,$26.14,45,WEAK SELL,01/07,FALSE,25.8,Bear,43,2,1.13x,-55.70%,45.40%,-3.03,-52.80%,-29.60%,-40.30%,-48.50%,$12.78B,29.7,$0.88,N/A,1.09
PAYX,"Paychex, Inc.",Technology,$92.47,45,WEAK SELL,01/07,FALSE,22,Bear,44.3,5.1,1.51x,-35.70%,21.80%,-3.51,-33.00%,-15.30%,-15.90%,-31.40%,$33.19B,20.92,$4.42,4.45%,0.89
TEAM,Atlassian Corporation,Technology,$86.48,45,WEAK SELL,02/07,FALSE,20.5,Bear,41.7,5.8,1.57x,-51.00%,46.70%,-2.54,-52.60%,-34.50%,-44.40%,-47.40%,$22.81B,N/A,$-0.72,N/A,0.88
SNPS,"Synopsys, Inc.",Technology,$423.35,45,WEAK SELL,01/07,FALSE,35.1,Bear,32.7,16,1.25x,-35.30%,68.60%,-0.73,-38.60%,-16.20%,6.20%,-31.30%,$80.99B,52.33,$8.09,N/A,1.13
TMDX,"TransMedics Group, Inc.",Healthcare,$128.52,45,WEAK SELL,01/07,FALSE,42.7,Bear,20,8.1,0.69x,-6.40%,49.20%,0.09,-19.80%,-9.50%,7.80%,-0.90%,$4.39B,50.6,$2.54,N/A,1.98
AVGO,Broadcom Inc.,Technology,$331.17,40,SELL,03/07,FALSE,47.7,Bear,16.5,62.9,0.79x,3.80%,48.10%,0.5,-25.30%,-2.60%,-6.60%,6.80%,$1570.17B,69.43,$4.77,0.71%,1.22
ZK,ZEEKR Intelligent Technol,Consumer Cyclical,$26.73,40,SELL,03/07,FALSE,39.9,Bear,27.3,53.1,0.00x,-9.50%,28.10%,-0.94,-15.60%,-0.40%,-8.20%,0.00%,$6.85B,N/A,$-1.28,N/A,N/A
LULU,lululemon athletica inc.,Consumer Cyclical,$169.53,40,SELL,02/07,FALSE,37.8,Bear,29.8,4.2,1.02x,-19.20%,47.00%,-0.51,-23.00%,-16.50%,-0.80%,-13.10%,$20.10B,11.79,$14.38,N/A,1.01
CRWD,"CrowdStrike Holdings, Inc",Technology,$411.54,40,SELL,02/07,FALSE,39.1,Bear,27.9,32.9,1.09x,-8.50%,39.30%,-0.11,-32.40%,-10.70%,-24.60%,-3.10%,$103.75B,N/A,$-1.28,N/A,1.03
MSFT,Microsoft Corporation,Technology,$401.84,40,SELL,01/07,FALSE,32.5,Bear,34.7,10.4,0.89x,-26.30%,24.90%,-2,-27.20%,-12.50%,-21.20%,-22.80%,$2986.63B,25.13,$15.99,0.86%,1.08
QCOM,QUALCOMM Incorporated,Technology,$138.47,40,SELL,02/07,FALSE,28.3,Bear,39.5,23.9,1.09x,-14.40%,34.80%,-0.53,-27.00%,-15.80%,-21.20%,-11.50%,$147.89B,27.92,$4.96,2.50%,1.24
META,"Meta Platforms, Inc.",Communication Servic,$649.81,40,SELL,0/7,FALSE,45.4,Bear,19.6,4.6,0.79x,-20.30%,33.10%,-0.99,-24.90%,5.60%,6.80%,-16.80%,$1643.73B,27.7,$23.46,0.31%,1.28
JD,"JD.com, Inc.",Consumer Cyclical,$27.52,35,SELL,01/07,FALSE,38,Bear,14.8,16.7,1.34x,-19.10%,30.80%,-1,-24.50%,-7.70%,-11.90%,-12.90%,$40.60B,8.94,$3.08,25.82%,0.41
WKHS,"Workhorse Group, Inc.",Consumer Cyclical,$3.85,35,SELL,02/07,FALSE,26.2,Bear,35.8,5.7,0.77x,-86.20%,98.40%,-3.09,-81.90%,-27.50%,-53.90%,-81.90%,$0.03B,0.05,$78.24,N/A,N/A
NTES,"NetEase, Inc.",Communication Servic,$118.17,35,SELL,01/07,FALSE,29.1,Bear,23,7.9,1.14x,-15.40%,32.80%,-0.66,-25.50%,-15.00%,-16.70%,-8.10%,$76.01B,15.57,$7.59,3.51%,0.92
MSTR,Strategy Inc,Technology,$123.00,35,SELL,02/07,FALSE,37.8,Bear,26.4,30.6,0.82x,-72.20%,75.30%,-2.71,-71.30%,-31.40%,-45.20%,-67.00%,$40.87B,N/A,$-15.23,N/A,3.54
MELI,"MercadoLibre, Inc.",Consumer Cyclical,$2007.00,35,SELL,02/07,FALSE,41.9,Bear,19.2,21.9,1.01x,-17.50%,40.30%,-0.58,-24.30%,-4.50%,-4.60%,-13.50%,$101.75B,49.02,$40.94,N/A,1.45
WDAY,"Workday, Inc.",Technology,$144.04,35,SELL,02/07,FALSE,22.7,Bear,51.9,6.5,1.00x,-39.20%,37.10%,-2.22,-41.80%,-25.70%,-36.20%,-35.10%,$38.46B,60.52,$2.38,N/A,1.12
TMUS,"T-Mobile US, Inc.",Communication Servic,$214.68,35,SELL,06/07,TRUE,70.7,Bear,24.5,83.6,2.07x,-17.40%,23.00%,-1.25,-28.50%,11.80%,1.40%,-13.50%,$240.12B,22.06,$9.73,N/A,N/A
SWKS,"Skyworks Solutions, Inc.",Technology,$60.73,35,SELL,03/07,FALSE,50.6,Bear,20.5,65.8,0.73x,-19.60%,38.30%,-0.76,-32.60%,1.50%,-11.60%,-17.70%,$9.13B,23.27,$2.61,4.43%,1.32
TME,Tencent Music Entertainme,Communication Servic,$15.15,35,SELL,01/07,FALSE,33.9,Bear,19.6,3.9,1.40x,-44.60%,37.70%,-2.64,-42.50%,-13.20%,-20.30%,-40.60%,$25.52B,15.15,$1.00,7.76%,0.52
MTCH,"Match Group, Inc.",Communication Servic,$29.92,30,STRONG SELL,01/07,FALSE,41.1,Bear,15.1,24.2,0.89x,-25.60%,28.70%,-1.64,-24.60%,-6.50%,-8.80%,-21.70%,$7.20B,12.57,$2.38,2.42%,1.31
DDOG,"Datadog, Inc.",Technology,$126.13,30,STRONG SELL,04/07,TRUE,49,Bear,22.1,54.3,0.86x,-5.80%,59.10%,0.18,-46.60%,3.00%,-33.90%,1.30%,$44.23B,394.16,$0.32,N/A,1.29
SIRI,Sirius XM Holdings Inc.,Communication Servic,$21.70,30,STRONG SELL,05/07,TRUE,57.9,Bear,16.9,58.1,0.68x,-4.50%,36.40%,0.08,-17.40%,4.10%,1.40%,-5.30%,$7.30B,9.73,$2.23,4.93%,0.95
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.91,20,STRONG SELL,06/07,TRUE,70.5,Bear,18.8,93.6,0.89x,-16.40%,31.50%,-0.76,-27.50%,6.40%,12.10%,-12.10%,$40.64B,25.78,$1.16,3.08%,0.35
