Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
SIRI,Sirius XM Holdings Inc.,Communication Servic,$21.34,39.98,30,STRONG SELL,5/7,True,54.6,Bear,17.3,48.6,0.16x,-6.5%,36.3%,-0.01,-17.4%,+3.4%,+0.1%,-5.0%,$7.18B,9.57,$2.23,4.98%,0.95,NO EDGE,Do not trade
ILMN,"Illumina, Inc.",Healthcare,$116.48,39.74,70,STRONG BUY,2/7,False,30.1,Bear,36.1,9.4,0.22x,+11.1%,53.1%,0.74,-25.7%,-19.8%,-2.9%,+16.4%,$17.90B,21.37,$5.45,N/A,1.45,NO EDGE,Do not trade
HSAI,Hesai Group,Consumer Cyclical,$25.72,39.38,65,BUY,3/7,False,51.8,Bear,22.6,54.2,0.14x,+6.2%,74.0%,0.60,-49.6%,-10.1%,+30.0%,+0.5%,$4.13B,55.90,$0.46,N/A,1.15,NO EDGE,Do not trade
TMUS,"T-Mobile US, Inc.",Communication Servic,$217.03,39.13,25,STRONG SELL,7/7,True,72.3,Bear,26.3,89.8,0.37x,-16.9%,23.0%,-1.15,-28.5%,+13.8%,+1.6%,-14.0%,$242.75B,22.31,$9.73,N/A,N/A,NO EDGE,Do not trade
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$97.01,38.21,45,WEAK SELL,5/7,True,54.5,Bear,23.9,54.4,0.25x,-9.6%,20.0%,-0.56,-16.2%,+3.6%,-1.4%,-4.5%,$81.89B,32.66,$2.97,N/A,0.62,NO EDGE,Do not trade
DXCM,"DexCom, Inc.",Healthcare,$70.18,37.99,55,WEAK BUY,4/7,True,51.1,Bear,26.2,58.6,0.70x,-16.4%,42.4%,-0.44,-33.3%,+1.4%,+17.5%,-13.3%,$27.52B,33.58,$2.09,N/A,1.49,NO EDGE,Do not trade
TECH,Bio-Techne Corporation,Healthcare,$60.04,37.36,60,BUY,2/7,False,37.8,Bear,22.8,16.8,0.30x,+5.9%,38.9%,0.63,-16.6%,-14.2%,-1.0%,+12.3%,$9.39B,113.28,$0.53,0.54%,1.47,NO EDGE,Do not trade
ISRG,"Intuitive Surgical, Inc.",Healthcare,$491.33,36.57,55,WEAK BUY,3/7,False,38.0,Bull,35.7,37.0,0.20x,-2.3%,33.3%,0.21,-19.7%,-9.2%,-13.1%,+2.3%,$174.48B,62.59,$7.85,N/A,1.66,NO EDGE,Do not trade
PCRX,"Pacira BioSciences, Inc.",Healthcare,$22.32,33.27,35,SELL,5/7,True,54.7,Bear,24.4,99.3,0.13x,-15.0%,39.0%,-0.44,-29.6%,+8.1%,-5.5%,-9.9%,$0.96B,47.49,$0.47,N/A,0.23,NO EDGE,Do not trade
TMDX,"TransMedics Group, Inc.",Healthcare,$130.37,32.68,45,WEAK SELL,2/7,False,45.2,Bear,18.7,18.0,0.18x,-5.4%,49.1%,0.15,-19.8%,-9.3%,+12.8%,+2.2%,$4.46B,51.33,$2.54,N/A,1.98,NO EDGE,Do not trade
AAPL,Apple Inc.,Technology,$259.70,32.35,50,HOLD,0/7,False,43.0,Bear,22.8,27.0,0.29x,+7.4%,21.7%,1.01,-13.8%,+0.7%,-4.8%,+12.4%,$3817.05B,32.87,$7.90,0.39%,1.11,NO EDGE,Do not trade
CRWD,"CrowdStrike Holdings, Inc",Technology,$425.38,32.14,60,BUY,3/7,False,45.2,Bull,27.1,45.1,0.36x,-5.7%,39.5%,0.06,-32.4%,-6.5%,-19.7%,-0.6%,$107.24B,N/A,$-1.28,N/A,1.03,NO EDGE,Do not trade
STZ,"Constellation Brands, Inc",Consumer Defensive,$153.85,31.33,50,HOLD,3/7,False,45.6,Bear,40.4,11.9,0.75x,-12.5%,29.5%,-0.51,-24.1%,-2.5%,+19.4%,-7.2%,$26.78B,24.19,$6.36,2.51%,0.44,NO EDGE,Do not trade
NVDA,NVIDIA Corporation,Technology,$183.33,28.16,50,HOLD,1/7,False,47.8,Bear,11.6,52.4,0.42x,-3.2%,34.8%,0.17,-17.4%,-2.0%,-1.9%,+1.6%,$4462.14B,45.36,$4.04,0.02%,2.31,NO EDGE,Do not trade
DDOG,"Datadog, Inc.",Technology,$126.04,27.56,30,STRONG SELL,4/7,True,48.9,Bear,20.9,54.0,0.30x,-6.2%,58.9%,0.17,-46.6%,+4.3%,-32.2%,-1.0%,$44.20B,393.86,$0.32,N/A,1.29,NO EDGE,Do not trade
SWKS,"Skyworks Solutions, Inc.",Technology,$61.57,26.69,30,STRONG SELL,4/7,True,52.9,Bear,19.2,74.0,0.09x,-18.8%,38.2%,-0.68,-32.6%,+5.3%,-8.7%,-15.7%,$9.26B,23.59,$2.61,4.64%,1.32,NO EDGE,Do not trade
LULU,lululemon athletica inc.,Consumer Cyclical,$174.24,26.0,30,STRONG SELL,3/7,False,42.2,Bear,29.6,24.3,0.21x,-17.2%,47.0%,-0.39,-23.0%,-15.0%,+2.7%,-12.2%,$20.66B,12.12,$14.38,N/A,1.01,NO EDGE,Do not trade
ZK,ZEEKR Intelligent Technol,Consumer Cyclical,$26.73,25.22,40,SELL,3/7,False,39.9,Bear,27.3,53.1,0.00x,-9.4%,28.1%,-0.94,-15.6%,-0.4%,-8.2%,+0.0%,$6.85B,N/A,$-1.28,N/A,N/A,NO EDGE,Do not trade
AVGO,Broadcom Inc.,Technology,$328.79,25.21,40,SELL,1/7,False,46.5,Bear,16.4,58.7,0.23x,+2.6%,47.9%,0.46,-25.3%,-4.1%,-3.1%,+7.7%,$1558.88B,68.93,$4.77,0.73%,1.22,NO EDGE,Do not trade
TCOM,Trip.com Group Limited,Consumer Cyclical,$54.21,22.81,35,SELL,3/7,False,27.3,Bear,35.1,8.3,0.41x,-16.5%,42.6%,-0.45,-31.4%,-11.6%,-27.3%,-13.1%,$35.43B,14.45,$3.75,N/A,-0.18,NO EDGE,Do not trade
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$632.44,20.84,30,STRONG SELL,2/7,False,36.6,Bear,30.4,26.5,0.22x,-8.9%,32.5%,-0.20,-19.5%,-11.2%,-9.8%,-2.8%,$50.60B,48.35,$13.08,N/A,1.66,NO EDGE,Do not trade
META,"Meta Platforms, Inc.",Communication Servic,$648.02,20.42,30,STRONG SELL,1/7,False,44.9,Bear,19.2,12.3,0.25x,-20.9%,32.9%,-1.00,-24.9%,+4.4%,+6.3%,-17.4%,$1639.20B,27.62,$23.46,0.32%,1.28,NO EDGE,Do not trade
TTWO,Take-Two Interactive Soft,Communication Servic,$191.70,19.65,45,WEAK SELL,2/7,False,28.3,Bear,43.3,5.1,0.25x,-23.0%,30.1%,-1.28,-27.4%,-21.5%,-19.3%,-17.4%,$35.50B,N/A,$-22.58,N/A,0.93,NO EDGE,Do not trade
MELI,"MercadoLibre, Inc.",Consumer Cyclical,$1976.69,19.12,45,WEAK SELL,1/7,False,39.3,Bear,19.3,14.8,0.22x,-19.2%,40.2%,-0.65,-24.3%,-5.8%,-2.7%,-17.4%,$100.21B,48.28,$40.94,N/A,1.45,NO EDGE,Do not trade
CDNS,"Cadence Design Systems, I",Technology,$295.94,18.78,25,STRONG SELL,3/7,False,47.2,Bear,19.6,53.2,0.34x,-19.4%,33.9%,-0.86,-28.1%,-7.7%,-6.3%,-15.4%,$80.64B,76.08,$3.89,N/A,1.00,NO EDGE,Do not trade
SNPS,"Synopsys, Inc.",Technology,$434.03,18.58,30,STRONG SELL,2/7,False,40.0,Bear,32.4,25.7,0.21x,-34.0%,68.5%,-0.66,-38.6%,-14.6%,+10.2%,-29.8%,$83.04B,53.65,$8.09,N/A,1.13,NO EDGE,Do not trade
QCOM,QUALCOMM Incorporated,Technology,$140.07,18.47,30,STRONG SELL,2/7,False,31.7,Bear,40.3,30.6,0.41x,-13.7%,34.7%,-0.46,-27.0%,-13.2%,-19.3%,-10.3%,$149.60B,28.24,$4.96,2.54%,1.24,NO EDGE,Do not trade
VRSN,"VeriSign, Inc.",Technology,$218.00,17.14,40,SELL,2/7,False,28.8,Bear,29.5,20.2,0.20x,-22.2%,23.5%,-1.64,-25.2%,-12.5%,-13.1%,-18.7%,$20.21B,24.74,$8.81,1.06%,0.75,NO EDGE,Do not trade
SHAK,Shake Shack Inc.,Consumer Cyclical,$88.90,16.85,30,STRONG SELL,2/7,False,44.1,Bear,19.9,18.4,0.23x,-21.9%,39.7%,-0.83,-27.9%,-11.8%,-1.5%,-16.9%,$3.80B,87.16,$1.02,N/A,1.75,NO EDGE,Do not trade
AMZN,"Amazon.com, Inc.",Consumer Cyclical,$199.16,16.53,35,SELL,1/7,False,23.3,Bear,26.5,3.7,0.46x,-15.4%,31.1%,-0.67,-21.6%,-16.4%,-16.2%,-13.8%,$2137.97B,27.78,$7.17,N/A,1.39,NO EDGE,Do not trade
PDD,PDD Holdings Inc.,Consumer Cyclical,$100.34,15.2,25,STRONG SELL,2/7,False,34.5,Bear,19.5,19.0,0.36x,-18.1%,30.6%,-0.89,-27.4%,-6.6%,-25.4%,-15.6%,$142.45B,10.06,$9.97,N/A,-0.01,NO EDGE,Do not trade
NTES,"NetEase, Inc.",Communication Servic,$120.20,14.82,30,STRONG SELL,1/7,False,34.1,Bear,23.8,18.4,0.28x,-14.3%,32.7%,-0.55,-25.5%,-11.7%,-14.9%,-6.2%,$77.31B,15.84,$7.59,3.52%,0.92,NO EDGE,Do not trade
NFLX,"Netflix, Inc.",Communication Servic,$76.37,14.42,45,WEAK SELL,3/7,False,25.5,Bear,30.9,10.1,0.29x,-40.7%,29.8%,-2.95,-39.9%,-13.3%,-33.8%,-38.4%,$323.92B,30.18,$2.53,N/A,1.71,NO EDGE,Do not trade
JD,"JD.com, Inc.",Consumer Cyclical,$27.38,11.63,25,STRONG SELL,1/7,False,36.9,Bear,15.2,12.7,0.29x,-19.9%,30.6%,-1.03,-24.5%,-6.9%,-10.9%,-13.6%,$40.39B,8.89,$3.08,26.52%,0.41,NO EDGE,Do not trade
PYPL,"PayPal Holdings, Inc.",Financial Services,$39.51,10.81,45,WEAK SELL,2/7,False,18.9,Bear,51.6,5.8,0.27x,-48.1%,41.8%,-2.56,-48.5%,-30.4%,-39.4%,-42.8%,$36.97B,7.30,$5.41,0.72%,1.42,NO EDGE,Do not trade
WDAY,"Workday, Inc.",Technology,$145.24,10.59,35,SELL,2/7,False,24.2,Bear,52.7,8.8,0.26x,-39.0%,37.0%,-2.16,-41.8%,-24.6%,-35.0%,-35.8%,$38.78B,61.03,$2.38,N/A,1.12,NO EDGE,Do not trade
PAYX,"Paychex, Inc.",Technology,$93.51,10.39,45,WEAK SELL,2/7,False,26.2,Bear,45.6,14.2,0.30x,-35.3%,21.8%,-3.38,-33.0%,-14.5%,-15.5%,-31.0%,$33.57B,21.16,$4.42,4.56%,0.89,NO EDGE,Do not trade
VRSK,"Verisk Analytics, Inc.",Industrials,$179.41,10.16,35,SELL,2/7,False,28.3,Bear,48.3,26.6,0.28x,-36.0%,29.8%,-2.46,-37.7%,-19.2%,-17.4%,-32.8%,$25.09B,27.63,$6.50,0.97%,0.80,NO EDGE,Do not trade
MSFT,Microsoft Corporation,Technology,$399.76,10.15,35,SELL,1/7,False,31.9,Bear,35.1,8.1,0.29x,-27.1%,24.8%,-2.04,-27.2%,-12.5%,-20.4%,-22.9%,$2971.31B,25.00,$15.99,0.87%,1.08,NO EDGE,Do not trade
TME,Tencent Music Entertainme,Communication Servic,$15.58,9.87,25,STRONG SELL,3/7,False,39.2,Bear,19.9,19.8,0.55x,-43.3%,37.8%,-2.46,-42.5%,-6.1%,-16.6%,-39.0%,$26.25B,15.58,$1.00,8.67%,0.52,NO EDGE,Do not trade
TTD,"The Trade Desk, Inc.",Communication Servic,$25.91,8.61,45,WEAK SELL,2/7,False,25.3,Bear,43.5,3.4,0.31x,-56.5%,45.2%,-3.06,-53.2%,-28.5%,-39.6%,-50.3%,$12.67B,29.44,$0.88,N/A,1.09,NO EDGE,Do not trade
UPLD,"Upland Software, Inc.",Technology,$0.97,7.78,35,SELL,1/7,False,18.2,Bear,39.3,0.0,0.52x,-52.7%,69.1%,-1.60,-67.1%,-36.0%,-48.0%,-47.1%,$0.03B,N/A,$-1.75,N/A,1.22,NO EDGE,Do not trade
ZS,"Zscaler, Inc.",Technology,$176.53,7.2,40,SELL,1/7,False,32.4,Bear,41.9,20.6,0.34x,-40.6%,39.5%,-2.13,-50.2%,-16.2%,-42.8%,-35.8%,$28.15B,N/A,$-0.26,N/A,1.02,NO EDGE,Do not trade
MSTR,Strategy Inc,Technology,$132.99,6.5,30,STRONG SELL,2/7,False,43.5,Bear,26.4,46.8,0.38x,-70.0%,76.0%,-2.45,-71.3%,-22.2%,-36.2%,-63.7%,$44.22B,N/A,$-15.23,N/A,3.54,NO EDGE,Do not trade
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,$9.86,5.64,35,SELL,1/7,False,18.9,Bear,30.5,2.9,0.85x,-49.9%,49.9%,-2.21,-48.5%,-29.5%,-33.3%,-44.0%,$1.15B,16.42,$0.60,N/A,N/A,NO EDGE,Do not trade
INTU,Intuit Inc.,Technology,$397.32,5.54,35,SELL,2/7,False,18.8,Bear,57.3,4.6,0.31x,-48.1%,33.3%,-3.33,-44.4%,-28.4%,-38.8%,-44.4%,$110.61B,27.27,$14.57,1.09%,1.23,NO EDGE,Do not trade
WKHS,"Workhorse Group, Inc.",Consumer Cyclical,$3.84,5.52,35,SELL,2/7,False,26.1,Bear,37.4,4.9,0.23x,-86.7%,98.0%,-3.08,-81.9%,-25.6%,-51.4%,-80.6%,$0.03B,0.05,$78.24,N/A,N/A,NO EDGE,Do not trade
TEAM,Atlassian Corporation,Technology,$86.18,4.04,35,SELL,1/7,False,20.4,Bear,42.9,5.2,0.32x,-51.6%,46.5%,-2.55,-52.7%,-32.9%,-43.3%,-48.4%,$22.73B,N/A,$-0.72,N/A,0.88,NO EDGE,Do not trade
PAYC,"Paycom Software, Inc.",Technology,$124.03,3.52,30,STRONG SELL,2/7,False,32.0,Bear,42.7,45.2,0.36x,-47.9%,33.9%,-3.25,-49.0%,-18.8%,-24.5%,-42.7%,$6.81B,15.35,$8.08,N/A,N/A,NO EDGE,Do not trade
MTCH,"Match Group, Inc.",Communication Servic,$30.20,3.46,5,STRONG SELL,1/7,False,43.0,Bear,14.7,30.4,0.25x,-25.3%,28.6%,-1.57,-24.6%,-4.4%,-6.6%,-20.2%,$7.27B,12.69,$2.38,2.54%,1.31,NO EDGE,Do not trade
