Ticker,Name,Price,Score,Signal,Strength,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,AUM,Expense,Yield,Beta
EWA,iShares MSCI Australia ETF,$29.31,70,STRONG BUY,5,69.0,Bear,44.2,86.4,0.99x,+4.1%,14.5%,1.52,-9.5%,+10.8%,+16.3%,+12.0%,$1.28B,N/A,3.04%,N/A
EWS,iShares MSCI Singapore ETF,$28.81,65,BUY,4,58.3,Bull,13.6,75.2,0.72x,-1.1%,13.5%,0.90,-7.3%,+3.3%,+4.2%,+6.8%,$0.77B,N/A,3.99%,N/A
EEM,iShares MSCI Emerging Markets ,$61.19,65,BUY,4,64.7,Bear,34.8,80.5,0.67x,+16.7%,15.0%,2.89,-5.2%,+6.8%,+14.3%,+24.6%,$26.95B,N/A,2.05%,N/A
TUR,iShares MSCI Turkey ETF,$42.41,65,BUY,4,73.9,Bear,45.2,89.0,0.84x,+16.3%,20.6%,2.13,-11.3%,+9.1%,+29.5%,+24.2%,$0.35B,N/A,1.99%,N/A
IAU,iShares Gold Trust,$93.85,65,BUY,4,54.0,Bear,30.6,40.9,0.37x,+42.3%,29.8%,2.84,-13.8%,+4.8%,+23.3%,+50.2%,$79.75B,N/A,N/A,N/A
EWS,iShares MSCI Singapore ETF,$28.81,65,BUY,4,58.3,Bull,13.6,75.2,0.72x,-1.1%,13.5%,0.90,-7.3%,+3.3%,+4.2%,+6.8%,$0.77B,N/A,3.99%,N/A
EWY,iShares MSCI South Korea ETF,$132.93,65,BUY,4,70.3,Bear,49.4,91.4,0.94x,+82.4%,29.6%,4.47,-12.2%,+19.8%,+46.1%,+90.3%,$12.20B,N/A,1.64%,N/A
EWP,iShares MSCI Spain ETF,$56.83,65,BUY,4,56.9,Bear,21.0,67.1,0.47x,+11.0%,14.7%,2.32,-6.0%,+5.6%,+13.5%,+18.9%,$1.88B,N/A,2.17%,N/A
URA,Global X Uranium ETF,$52.99,65,BUY,4,51.0,Bear,23.6,29.5,0.43x,+42.3%,54.0%,1.75,-28.4%,-2.1%,+27.0%,+50.2%,$7.73B,N/A,3.73%,N/A
EZU,iShares MSCI Eurozone ETF,$68.12,60,BUY,4,60.9,Bear,22.5,83.1,0.48x,+5.2%,12.3%,1.91,-5.8%,+4.9%,+11.2%,+13.0%,$9.56B,N/A,2.75%,N/A
EWN,iShares MSCI Netherlands ETF,$62.94,55,WEAK BUY,3,58.2,Bear,19.7,80.8,0.36x,+14.9%,17.2%,2.37,-7.0%,+3.8%,+13.9%,+22.8%,$0.36B,N/A,4.60%,N/A
EWG,iShares MSCI Germany ETF,$44.12,55,WEAK BUY,3,58.9,Bear,13.7,74.5,0.39x,-3.8%,12.8%,0.54,-8.8%,+3.7%,+10.3%,+4.1%,$1.76B,N/A,1.58%,N/A
EWI,iShares MSCI Italy ETF,$56.32,55,WEAK BUY,3,53.7,Bear,20.0,45.7,0.61x,+2.7%,14.2%,1.35,-6.1%,+4.3%,+8.6%,+10.5%,$0.72B,N/A,2.72%,N/A
ENZL,iShares MSCI New Zealand ETF,$45.25,50,HOLD,0,37.6,Bear,23.8,16.5,1.30x,-7.4%,13.2%,-0.01,-7.5%,-1.8%,+3.0%,+0.5%,$0.07B,N/A,2.15%,N/A
ARGT,Global X MSCI Argentina ETF,$91.30,50,HOLD,0,42.7,Bear,16.0,18.1,0.28x,+4.9%,44.3%,0.71,-18.0%,-0.0%,+2.0%,+12.7%,$0.88B,N/A,0.78%,N/A
EWQ,iShares MSCI France ETF,$47.03,45,WEAK SELL,-3,62.8,Bear,18.3,88.6,0.67x,-0.0%,13.1%,1.08,-5.2%,+5.6%,+6.9%,+7.9%,$0.39B,N/A,2.60%,N/A
ERUS,iShares MSCI Russia ETF,$0.03,45,WEAK SELL,-3,0.0,Bear,87.4,100.0,1.00x,-107.8%,142.0%,-1.43,-99.6%,+0.3%,-99.6%,+0.0%,$0.00B,N/A,595.28%,N/A
EPHE,iShares MSCI Philippines ETF,$26.78,45,WEAK SELL,-3,57.1,Bear,26.1,71.3,0.42x,-5.0%,17.8%,0.29,-13.1%,+3.0%,+12.7%,+2.8%,$0.16B,N/A,2.01%,N/A
VNM,VanEck Vietnam ETF,$18.77,45,WEAK SELL,-3,50.8,Bear,13.6,73.2,0.62x,-2.8%,27.2%,0.43,-15.1%,-3.8%,+6.5%,+5.1%,$0.65B,N/A,0.20%,N/A
TQQQ,ProShares UltraPro QQQ,$49.39,35,SELL,-4,42.6,Bear,23.3,27.5,0.79x,+3.0%,47.4%,0.63,-23.0%,-2.6%,-3.1%,+10.8%,$28.96B,N/A,0.63%,N/A
