Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
KLAC,KLA Corporation,Technology,$1471.79,49.78,60,BUY,2/7,False,53.7,Bear,16.2,45.7,0.20x,+51.3%,49.1%,2.00,-22.4%,-4.7%,+26.9%,+68.9%,$193.38B,42.80,$34.39,0.51%,1.46,NO EDGE,Do not trade
PSTG,"Pure Storage, Inc.",Technology,$73.21,49.63,70,STRONG BUY,4/7,True,52.6,Bear,10.2,71.6,0.21x,+18.7%,77.0%,0.89,-34.9%,+1.2%,-12.8%,+24.9%,$24.17B,192.64,$0.38,N/A,1.27,NO EDGE,Do not trade
MDB,"MongoDB, Inc.",Technology,$361.67,47.37,50,HOLD,2/7,False,44.8,Bear,26.4,39.8,0.20x,+70.1%,75.4%,1.77,-25.9%,-7.1%,+3.0%,+65.7%,$29.44B,N/A,$-0.82,N/A,1.39,NO EDGE,Do not trade
CHTR,"Charter Communications, I",Communication Servic,$239.05,45.65,55,WEAK BUY,6/7,True,67.0,Bear,36.6,85.2,0.16x,-15.4%,34.7%,-0.56,-35.3%,+22.8%,+16.7%,-10.7%,$30.94B,6.60,$36.21,N/A,1.05,NO EDGE,Do not trade
SBUX,Starbucks Corporation,Consumer Cyclical,$95.50,45.59,50,HOLD,4/7,True,53.5,Bear,40.4,34.4,0.18x,-1.4%,28.3%,0.26,-15.2%,+2.4%,+11.3%,+6.2%,$108.86B,79.62,$1.20,2.56%,0.94,NO EDGE,Do not trade
FAST,Fastenal Company,Industrials,$45.87,45.04,55,WEAK BUY,5/7,True,56.7,Bear,25.5,54.8,0.19x,-10.0%,25.2%,-0.42,-21.9%,+6.0%,+13.2%,-5.1%,$52.67B,42.08,$1.09,1.92%,0.89,NO EDGE,Do not trade
WERN,"Werner Enterprises, Inc.",Industrials,$33.53,44.73,70,STRONG BUY,2/7,False,48.3,Bear,30.6,33.3,0.13x,+13.8%,40.1%,0.97,-21.3%,-0.0%,+36.7%,+20.9%,$2.01B,N/A,$-0.24,1.72%,1.07,NO EDGE,Do not trade
WFG,West Fraser Timber Co. Lt,Basic Materials,$73.86,44.55,55,WEAK BUY,5/7,True,60.1,Bear,35.5,66.2,0.33x,-7.1%,32.1%,-0.09,-24.5%,+6.6%,+23.5%,-0.8%,$5.78B,N/A,$-12.08,1.74%,1.27,NO EDGE,Do not trade
CSCO,"Cisco Systems, Inc.",Technology,$75.90,43.95,70,STRONG BUY,2/7,False,42.7,Bear,36.3,16.8,0.44x,+4.8%,28.4%,0.68,-13.6%,+0.9%,-1.4%,+16.0%,$299.89B,27.30,$2.78,2.19%,0.86,NO EDGE,Do not trade
TSLA,"Tesla, Inc.",Consumer Cyclical,$416.65,43.71,50,HOLD,3/7,False,44.6,Bear,23.4,55.3,0.32x,+18.5%,44.5%,1.09,-18.9%,-5.0%,+3.6%,+26.0%,$1563.45B,385.79,$1.08,N/A,1.89,NO EDGE,Do not trade
NVAX,"Novavax, Inc.",Healthcare,$8.83,43.2,60,BUY,4/7,True,54.4,Bear,26.9,42.0,0.21x,-4.5%,65.0%,0.28,-35.9%,+13.5%,+25.1%,-7.8%,$1.44B,4.39,$2.01,N/A,2.58,NO EDGE,Do not trade
GS,"The Goldman Sachs Group, ",Financial Services,$899.75,43.14,60,BUY,1/7,False,43.6,Bear,19.8,30.9,0.50x,+17.8%,26.5%,1.55,-8.8%,-7.8%,+12.3%,+24.4%,$272.37B,17.54,$51.29,1.55%,1.31,NO EDGE,Do not trade
SIRI,Sirius XM Holdings Inc.,Communication Servic,$21.38,40.01,30,STRONG SELL,5/7,True,54.8,Bear,17.3,49.4,0.14x,-6.4%,36.3%,0.00,-17.4%,+3.5%,+0.2%,-4.8%,$7.19B,9.59,$2.23,4.98%,0.95,NO EDGE,Do not trade
ILMN,"Illumina, Inc.",Healthcare,$117.06,39.86,70,STRONG BUY,2/7,False,31.0,Bear,36.1,10.8,0.19x,+11.5%,53.1%,0.76,-25.7%,-19.4%,-2.4%,+16.9%,$17.99B,21.48,$5.45,N/A,1.45,NO EDGE,Do not trade
HSAI,Hesai Group,Consumer Cyclical,$25.65,39.31,65,BUY,3/7,False,51.5,Bear,22.6,53.1,0.13x,+5.8%,74.0%,0.59,-49.6%,-10.3%,+29.7%,+0.2%,$4.12B,55.76,$0.46,N/A,1.15,NO EDGE,Do not trade
TMUS,"T-Mobile US, Inc.",Communication Servic,$216.99,39.12,25,STRONG SELL,7/7,True,72.3,Bear,26.3,89.7,0.35x,-17.0%,23.0%,-1.15,-28.5%,+13.8%,+1.6%,-14.1%,$242.70B,22.30,$9.73,N/A,N/A,NO EDGE,Do not trade
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.60,38.55,30,STRONG SELL,6/7,True,65.9,Bear,19.7,85.5,0.18x,-17.8%,31.4%,-0.82,-27.5%,+6.1%,+10.6%,-13.4%,$40.22B,25.52,$1.16,3.08%,0.35,NO EDGE,Do not trade
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$96.97,38.19,45,WEAK SELL,5/7,True,54.3,Bear,24.0,54.1,0.22x,-9.8%,20.0%,-0.56,-16.2%,+3.6%,-1.4%,-4.5%,$81.85B,32.65,$2.97,N/A,0.62,NO EDGE,Do not trade
DXCM,"DexCom, Inc.",Healthcare,$70.39,38.06,55,WEAK BUY,4/7,True,51.7,Bear,26.2,60.2,0.67x,-16.2%,42.5%,-0.42,-33.3%,+1.7%,+17.9%,-13.0%,$27.60B,33.68,$2.09,N/A,1.49,NO EDGE,Do not trade
TECH,Bio-Techne Corporation,Healthcare,$60.23,37.45,60,BUY,2/7,False,38.4,Bear,22.8,18.4,0.26x,+6.1%,39.0%,0.64,-16.6%,-13.9%,-0.7%,+12.7%,$9.42B,113.64,$0.53,0.54%,1.47,NO EDGE,Do not trade
ISRG,"Intuitive Surgical, Inc.",Healthcare,$491.58,36.58,55,WEAK BUY,3/7,False,38.1,Bull,35.7,37.4,0.19x,-2.3%,33.3%,0.21,-19.7%,-9.2%,-13.1%,+2.4%,$174.57B,62.62,$7.85,N/A,1.66,NO EDGE,Do not trade
PCRX,"Pacira BioSciences, Inc.",Healthcare,$22.25,33.2,35,SELL,5/7,True,54.3,Bear,24.3,99.6,0.11x,-15.4%,38.9%,-0.46,-29.6%,+7.7%,-5.8%,-10.2%,$0.96B,47.34,$0.47,N/A,0.23,NO EDGE,Do not trade
AAPL,Apple Inc.,Technology,$259.50,32.3,50,HOLD,0/7,False,42.8,Bear,22.8,26.3,0.27x,+7.2%,21.8%,1.00,-13.8%,+0.6%,-4.8%,+12.3%,$3813.52B,32.84,$7.90,0.39%,1.11,NO EDGE,Do not trade
CRWD,"CrowdStrike Holdings, Inc",Technology,$425.46,32.15,60,BUY,3/7,False,45.2,Bull,27.1,45.2,0.34x,-5.8%,39.5%,0.07,-32.4%,-6.5%,-19.7%,-0.6%,$107.26B,N/A,$-1.28,N/A,1.03,NO EDGE,Do not trade
STZ,"Constellation Brands, Inc",Consumer Defensive,$153.99,31.35,50,HOLD,3/7,False,45.8,Bear,40.4,12.8,0.70x,-12.6%,29.4%,-0.51,-24.1%,-2.4%,+19.5%,-7.1%,$26.81B,24.21,$6.36,2.51%,0.44,NO EDGE,Do not trade
AVGO,Broadcom Inc.,Technology,$330.14,28.88,40,SELL,2/7,False,47.2,Bear,16.4,61.1,0.21x,+2.9%,47.9%,0.48,-25.3%,-3.8%,-2.7%,+8.2%,$1565.28B,69.21,$4.77,0.73%,1.22,NO EDGE,Do not trade
NVDA,NVIDIA Corporation,Technology,$183.79,28.22,50,HOLD,1/7,False,48.3,Bear,11.6,54.4,0.40x,-3.0%,34.8%,0.18,-17.4%,-1.7%,-1.6%,+1.9%,$4474.37B,45.49,$4.04,0.02%,2.31,NO EDGE,Do not trade
TMDX,"TransMedics Group, Inc.",Healthcare,$130.99,27.69,40,SELL,1/7,False,46.0,Bear,18.7,21.3,0.17x,-5.1%,49.1%,0.17,-19.8%,-8.8%,+13.4%,+2.7%,$4.48B,51.57,$2.54,N/A,1.98,NO EDGE,Do not trade
DDOG,"Datadog, Inc.",Technology,$125.28,27.48,30,STRONG SELL,4/7,True,48.3,Bear,20.9,52.0,0.28x,-6.9%,58.9%,0.15,-46.6%,+3.7%,-32.6%,-1.5%,$43.93B,391.50,$0.32,N/A,1.29,NO EDGE,Do not trade
SWKS,"Skyworks Solutions, Inc.",Technology,$61.60,26.7,30,STRONG SELL,4/7,True,53.0,Bear,19.2,74.3,0.08x,-18.9%,38.2%,-0.68,-32.6%,+5.4%,-8.6%,-15.6%,$9.26B,23.60,$2.61,4.64%,1.32,NO EDGE,Do not trade
LULU,lululemon athletica inc.,Consumer Cyclical,$174.44,26.02,30,STRONG SELL,3/7,False,42.3,Bear,29.6,25.1,0.19x,-17.3%,47.0%,-0.39,-23.0%,-14.9%,+2.8%,-12.1%,$20.69B,12.13,$14.38,N/A,1.01,NO EDGE,Do not trade
ZK,ZEEKR Intelligent Technol,Consumer Cyclical,$26.73,25.22,40,SELL,3/7,False,39.9,Bear,27.3,53.1,0.00x,-9.6%,28.1%,-0.94,-15.6%,-0.4%,-8.2%,+0.0%,$6.85B,N/A,$-1.28,N/A,N/A,NO EDGE,Do not trade
TCOM,Trip.com Group Limited,Consumer Cyclical,$54.19,22.8,35,SELL,3/7,False,27.3,Bear,35.1,8.2,0.39x,-16.7%,42.6%,-0.45,-31.4%,-11.6%,-27.3%,-13.1%,$35.42B,14.45,$3.75,N/A,-0.18,NO EDGE,Do not trade
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$633.95,20.9,30,STRONG SELL,2/7,False,37.3,Bear,30.4,28.0,0.19x,-8.8%,32.5%,-0.19,-19.5%,-11.0%,-9.6%,-2.6%,$50.72B,48.47,$13.08,N/A,1.66,NO EDGE,Do not trade
META,"Meta Platforms, Inc.",Communication Servic,$648.59,20.44,30,STRONG SELL,1/7,False,45.0,Bear,19.2,12.8,0.24x,-21.0%,32.9%,-1.00,-24.9%,+4.5%,+6.4%,-17.3%,$1640.37B,27.64,$23.46,0.32%,1.28,NO EDGE,Do not trade
AMZN,"Amazon.com, Inc.",Consumer Cyclical,$199.41,20.15,35,SELL,2/7,False,23.4,Bear,26.5,4.2,0.40x,-15.5%,31.1%,-0.67,-21.5%,-16.3%,-16.1%,-13.7%,$2140.65B,27.81,$7.17,N/A,1.39,NO EDGE,Do not trade
TTWO,Take-Two Interactive Soft,Communication Servic,$192.13,19.71,45,WEAK SELL,2/7,False,28.7,Bear,43.3,5.8,0.23x,-22.9%,30.2%,-1.27,-27.4%,-21.4%,-19.1%,-17.2%,$35.58B,N/A,$-22.58,N/A,0.93,NO EDGE,Do not trade
MELI,"MercadoLibre, Inc.",Consumer Cyclical,$1979.71,19.15,45,WEAK SELL,1/7,False,39.6,Bear,19.3,15.6,0.21x,-19.2%,40.2%,-0.65,-24.3%,-5.7%,-2.5%,-17.2%,$100.37B,48.36,$40.94,N/A,1.45,NO EDGE,Do not trade
CDNS,"Cadence Design Systems, I",Technology,$296.85,18.86,25,STRONG SELL,3/7,False,47.7,Bear,19.6,54.6,0.33x,-19.2%,33.9%,-0.84,-28.1%,-7.4%,-6.1%,-15.2%,$80.88B,76.30,$3.89,N/A,1.00,NO EDGE,Do not trade
SNPS,"Synopsys, Inc.",Technology,$436.67,18.65,30,STRONG SELL,2/7,False,41.1,Bear,32.4,28.1,0.20x,-33.7%,68.5%,-0.64,-38.6%,-14.1%,+10.8%,-29.3%,$83.54B,53.98,$8.09,N/A,1.13,NO EDGE,Do not trade
QCOM,QUALCOMM Incorporated,Technology,$140.32,18.51,30,STRONG SELL,2/7,False,32.1,Bear,40.3,31.6,0.40x,-13.7%,34.8%,-0.45,-27.0%,-13.1%,-19.2%,-10.1%,$149.86B,28.29,$4.96,2.54%,1.24,NO EDGE,Do not trade
SHAK,Shake Shack Inc.,Consumer Cyclical,$88.68,16.8,30,STRONG SELL,2/7,False,43.7,Bear,19.9,16.7,0.22x,-22.2%,39.7%,-0.84,-27.9%,-12.0%,-1.7%,-17.1%,$3.79B,86.94,$1.02,N/A,1.75,NO EDGE,Do not trade
VRSN,"VeriSign, Inc.",Technology,$219.44,15.86,35,SELL,2/7,False,30.7,Bear,29.5,23.4,0.19x,-21.7%,23.5%,-1.58,-25.2%,-11.9%,-12.5%,-18.2%,$20.34B,24.91,$8.81,1.06%,0.75,NO EDGE,Do not trade
PDD,PDD Holdings Inc.,Consumer Cyclical,$100.25,15.18,25,STRONG SELL,2/7,False,34.2,Bear,19.5,18.0,0.35x,-18.3%,30.6%,-0.89,-27.4%,-6.7%,-25.4%,-15.7%,$142.32B,10.06,$9.97,N/A,-0.01,NO EDGE,Do not trade
NTES,"NetEase, Inc.",Communication Servic,$120.32,14.84,30,STRONG SELL,1/7,False,34.3,Bear,23.8,19.0,0.26x,-14.3%,32.8%,-0.54,-25.5%,-11.6%,-14.8%,-6.1%,$77.39B,15.85,$7.59,3.52%,0.92,NO EDGE,Do not trade
NFLX,"Netflix, Inc.",Communication Servic,$76.46,14.46,45,WEAK SELL,3/7,False,25.9,Bear,30.9,10.9,0.28x,-40.8%,29.8%,-2.94,-39.9%,-13.2%,-33.8%,-38.3%,$324.37B,30.22,$2.53,N/A,1.71,NO EDGE,Do not trade
ZS,"Zscaler, Inc.",Technology,$175.91,12.19,45,WEAK SELL,2/7,False,31.7,Bear,41.9,19.7,0.32x,-40.9%,39.4%,-2.15,-50.2%,-16.5%,-43.0%,-36.0%,$28.05B,N/A,$-0.26,N/A,1.02,NO EDGE,Do not trade
JD,"JD.com, Inc.",Consumer Cyclical,$27.35,11.61,25,STRONG SELL,1/7,False,36.8,Bear,15.2,12.0,0.27x,-20.1%,30.6%,-1.03,-24.5%,-7.0%,-10.9%,-13.7%,$40.36B,8.88,$3.08,26.52%,0.41,NO EDGE,Do not trade
PYPL,"PayPal Holdings, Inc.",Financial Services,$39.48,10.79,45,WEAK SELL,2/7,False,18.7,Bear,51.6,5.6,0.25x,-48.2%,41.8%,-2.57,-48.5%,-30.4%,-39.4%,-42.8%,$36.94B,7.30,$5.41,0.72%,1.42,NO EDGE,Do not trade
WDAY,"Workday, Inc.",Technology,$145.80,10.68,35,SELL,2/7,False,24.8,Bear,52.7,9.9,0.25x,-38.9%,37.0%,-2.14,-41.8%,-24.3%,-34.8%,-35.5%,$38.98B,61.34,$2.38,N/A,1.12,NO EDGE,Do not trade
PAYX,"Paychex, Inc.",Technology,$93.43,10.35,45,WEAK SELL,2/7,False,25.9,Bear,45.6,13.6,0.29x,-35.5%,21.8%,-3.39,-33.0%,-14.6%,-15.6%,-31.1%,$33.54B,21.14,$4.42,4.56%,0.89,NO EDGE,Do not trade
MSFT,Microsoft Corporation,Technology,$400.02,10.18,35,SELL,1/7,False,32.0,Bear,35.1,8.4,0.27x,-27.2%,24.8%,-2.03,-27.2%,-12.4%,-20.4%,-22.8%,$2973.14B,25.02,$15.99,0.87%,1.08,NO EDGE,Do not trade
VRSK,"Verisk Analytics, Inc.",Industrials,$179.40,10.16,35,SELL,2/7,False,28.3,Bear,48.3,26.6,0.25x,-36.1%,29.8%,-2.46,-37.7%,-19.2%,-17.4%,-32.8%,$25.06B,27.60,$6.50,0.97%,0.80,NO EDGE,Do not trade
TME,Tencent Music Entertainme,Communication Servic,$15.57,9.85,25,STRONG SELL,3/7,False,39.1,Bear,19.9,19.5,0.52x,-43.4%,37.8%,-2.47,-42.5%,-6.2%,-16.6%,-39.0%,$26.23B,15.57,$1.00,8.67%,0.52,NO EDGE,Do not trade
WKHS,"Workhorse Group, Inc.",Consumer Cyclical,$3.87,9.16,35,SELL,3/7,False,26.8,Bear,37.4,7.3,0.23x,-86.6%,98.0%,-3.06,-81.9%,-25.0%,-51.0%,-80.5%,$0.03B,0.05,$78.24,N/A,N/A,NO EDGE,Do not trade
TTD,"The Trade Desk, Inc.",Communication Servic,$26.02,8.68,45,WEAK SELL,2/7,False,25.5,Bear,43.5,4.8,0.29x,-56.4%,45.2%,-3.04,-53.0%,-28.2%,-39.3%,-50.1%,$12.72B,29.57,$0.88,N/A,1.09,NO EDGE,Do not trade
UPLD,"Upland Software, Inc.",Technology,$0.99,7.97,35,SELL,1/7,False,18.7,Bear,39.3,2.0,0.49x,-51.9%,69.1%,-1.55,-66.6%,-34.9%,-47.1%,-46.2%,$0.03B,N/A,$-1.75,N/A,1.22,NO EDGE,Do not trade
TEAM,Atlassian Corporation,Technology,$86.72,7.72,35,SELL,2/7,False,20.8,Bear,42.9,6.2,0.30x,-51.4%,46.5%,-2.52,-52.6%,-32.5%,-43.0%,-48.1%,$22.87B,N/A,$-0.72,N/A,0.88,NO EDGE,Do not trade
MSTR,Strategy Inc,Technology,$132.49,6.44,30,STRONG SELL,2/7,False,43.2,Bear,26.4,46.0,0.36x,-70.3%,75.9%,-2.46,-71.3%,-22.5%,-36.5%,-63.8%,$44.01B,N/A,$-15.23,N/A,3.54,NO EDGE,Do not trade
INTU,Intuit Inc.,Technology,$398.22,5.61,35,SELL,2/7,False,19.0,Bear,57.3,5.2,0.30x,-48.1%,33.3%,-3.32,-44.3%,-28.2%,-38.6%,-44.2%,$110.86B,27.33,$14.57,1.09%,1.23,NO EDGE,Do not trade
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,$9.82,5.56,35,SELL,1/7,False,18.8,Bear,30.5,2.0,0.80x,-50.2%,50.0%,-2.22,-48.7%,-29.8%,-33.5%,-44.2%,$1.15B,16.37,$0.60,N/A,N/A,NO EDGE,Do not trade
MTCH,"Match Group, Inc.",Communication Servic,$30.25,3.5,5,STRONG SELL,1/7,False,43.2,Bear,14.7,31.4,0.23x,-25.3%,28.7%,-1.56,-24.6%,-4.3%,-6.5%,-20.1%,$7.28B,12.71,$2.38,2.54%,1.31,NO EDGE,Do not trade
PAYC,"Paycom Software, Inc.",Technology,$123.77,3.45,30,STRONG SELL,2/7,False,31.6,Bear,42.7,44.6,0.34x,-48.2%,33.9%,-3.27,-49.0%,-19.0%,-24.7%,-42.8%,$6.80B,15.32,$8.08,N/A,N/A,NO EDGE,Do not trade
