Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
TTWO,Take-Two Interactive Soft,Communication Servic,$192.08,19.7,45,WEAK SELL,2/7,False,28.7,Bear,43.3,5.7,0.19x,-22.7%,30.2%,-1.27,-27.4%,-21.4%,-19.1%,-17.3%,$35.57B,N/A,$-22.58,N/A,0.93
MELI,"MercadoLibre, Inc.",Consumer Cyclical,$1983.38,19.18,45,WEAK SELL,1/7,False,39.8,Bear,19.3,16.4,0.16x,-18.8%,40.2%,-0.64,-24.3%,-5.5%,-2.3%,-17.1%,$100.48B,48.41,$40.94,N/A,1.45
PAYX,"Paychex, Inc.",Technology,$93.08,10.19,45,WEAK SELL,2/7,False,24.5,Bear,45.6,10.9,0.25x,-35.5%,21.7%,-3.43,-33.0%,-14.9%,-15.9%,-31.3%,$33.41B,21.06,$4.42,4.56%,0.89
ZS,"Zscaler, Inc.",Technology,$174.93,12.06,45,WEAK SELL,2/7,False,30.6,Bear,41.9,18.2,0.27x,-41.0%,39.3%,-2.18,-50.2%,-16.9%,-43.3%,-36.4%,$27.90B,N/A,$-0.26,N/A,1.02
ZK,ZEEKR Intelligent Technol,Consumer Cyclical,$26.73,25.22,40,SELL,3/7,False,39.9,Bear,27.3,53.1,0.00x,-9.3%,28.1%,-0.94,-15.6%,-0.4%,-8.2%,+0.0%,$6.85B,N/A,$-1.28,N/A,N/A
VRSN,"VeriSign, Inc.",Technology,$218.44,17.21,40,SELL,2/7,False,29.3,Bear,29.5,21.2,0.16x,-21.9%,23.5%,-1.62,-25.2%,-12.4%,-12.9%,-18.6%,$20.25B,24.79,$8.81,1.06%,0.75
AVGO,Broadcom Inc.,Technology,$327.94,25.15,40,SELL,1/7,False,46.1,Bear,16.4,57.2,0.18x,+2.5%,47.9%,0.45,-25.3%,-4.4%,-3.4%,+7.4%,$1554.40B,68.73,$4.77,0.73%,1.22
ZUMZ,Zumiez Inc.,Consumer Cyclical,$24.47,43.64,40,SELL,2/7,False,44.0,Bear,26.5,43.8,0.18x,+49.1%,46.9%,1.99,-21.6%,-5.4%,+7.8%,+58.0%,$0.41B,59.68,$0.41,N/A,0.89
TMDX,"TransMedics Group, Inc.",Healthcare,$131.30,27.72,40,SELL,1/7,False,46.3,Bear,18.7,22.9,0.14x,-4.6%,49.1%,0.18,-19.8%,-8.6%,+13.6%,+2.9%,$4.49B,51.69,$2.54,N/A,1.98
WDAY,"Workday, Inc.",Technology,$144.94,10.54,35,SELL,2/7,False,23.8,Bear,52.7,8.2,0.22x,-39.0%,37.0%,-2.18,-41.8%,-24.8%,-35.1%,-35.9%,$38.68B,60.87,$2.38,N/A,1.12
VRSK,"Verisk Analytics, Inc.",Industrials,$178.39,10.01,35,SELL,2/7,False,27.4,Bear,48.3,24.8,0.21x,-36.2%,29.8%,-2.50,-37.7%,-19.7%,-17.9%,-33.1%,$24.92B,27.44,$6.50,0.97%,0.80
UPLD,"Upland Software, Inc.",Technology,$1.01,11.78,35,SELL,2/7,False,21.1,Bear,39.3,6.2,0.46x,-50.6%,69.2%,-1.49,-66.4%,-33.6%,-46.0%,-45.1%,$0.03B,N/A,$-1.75,N/A,1.22
AMZN,"Amazon.com, Inc.",Consumer Cyclical,$198.07,16.31,35,SELL,1/7,False,22.8,Bear,26.5,1.6,0.30x,-15.8%,31.2%,-0.71,-22.0%,-16.8%,-16.6%,-14.3%,$2126.70B,27.63,$7.17,N/A,1.39
INTU,Intuit Inc.,Technology,$396.76,5.49,35,SELL,2/7,False,18.7,Bear,57.3,4.3,0.26x,-48.1%,33.3%,-3.34,-44.5%,-28.5%,-38.9%,-44.4%,$110.46B,27.23,$14.57,1.09%,1.23
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,$9.86,5.64,35,SELL,1/7,False,18.9,Bear,30.4,1.6,0.67x,-49.8%,49.9%,-2.21,-48.5%,-29.5%,-33.3%,-44.0%,$1.15B,16.42,$0.60,N/A,N/A
WKHS,"Workhorse Group, Inc.",Consumer Cyclical,$3.90,9.22,35,SELL,3/7,False,27.8,Bear,37.4,9.8,0.22x,-86.3%,98.0%,-3.05,-81.9%,-24.4%,-50.6%,-80.3%,$0.03B,0.05,$78.24,N/A,N/A
MSFT,Microsoft Corporation,Technology,$400.85,10.24,35,SELL,1/7,False,32.2,Bear,35.1,9.3,0.22x,-26.7%,24.8%,-2.01,-27.2%,-12.2%,-20.2%,-22.7%,$2978.75B,25.06,$15.99,0.87%,1.08
QCOM,QUALCOMM Incorporated,Technology,$139.29,19.84,35,SELL,2/7,False,30.1,Bear,40.3,27.3,0.35x,-14.1%,34.7%,-0.49,-27.0%,-13.7%,-19.8%,-10.8%,$148.76B,28.08,$4.96,2.54%,1.24
SHAK,Shake Shack Inc.,Consumer Cyclical,$87.59,14.49,35,SELL,1/7,False,42.1,Bear,19.9,8.2,0.17x,-23.0%,39.8%,-0.90,-27.9%,-13.1%,-2.9%,-18.1%,$3.74B,85.87,$1.02,N/A,1.75
TCOM,Trip.com Group Limited,Consumer Cyclical,$54.06,22.73,35,SELL,3/7,False,27.1,Bear,35.1,6.9,0.31x,-16.6%,42.6%,-0.46,-31.5%,-11.8%,-27.5%,-13.3%,$35.33B,14.41,$3.75,N/A,-0.18
TEAM,Atlassian Corporation,Technology,$86.63,7.71,35,SELL,2/7,False,20.7,Bear,42.9,6.0,0.25x,-51.2%,46.5%,-2.52,-52.6%,-32.6%,-43.0%,-48.1%,$22.85B,N/A,$-0.72,N/A,0.88
PCRX,"Pacira BioSciences, Inc.",Healthcare,$22.14,33.09,35,SELL,5/7,True,53.5,Bear,24.3,95.7,0.06x,-15.6%,38.8%,-0.48,-29.6%,+7.2%,-6.3%,-10.7%,$0.95B,47.11,$0.47,N/A,0.23
DDOG,"Datadog, Inc.",Technology,$124.71,23.85,30,STRONG SELL,3/7,False,47.9,Bear,20.9,50.5,0.23x,-7.1%,58.9%,0.14,-46.6%,+3.2%,-32.9%,-2.0%,$43.73B,389.72,$0.32,N/A,1.29
SWKS,"Skyworks Solutions, Inc.",Technology,$61.18,26.56,30,STRONG SELL,4/7,True,51.9,Bear,19.2,70.2,0.07x,-19.2%,38.2%,-0.72,-32.6%,+4.7%,-9.2%,-16.2%,$9.20B,23.44,$2.61,4.64%,1.32
SNPS,"Synopsys, Inc.",Technology,$437.55,18.67,30,STRONG SELL,2/7,False,41.5,Bear,32.4,28.9,0.16x,-33.3%,68.5%,-0.63,-38.6%,-13.9%,+11.1%,-29.2%,$83.71B,54.09,$8.09,N/A,1.13
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$631.51,20.8,30,STRONG SELL,2/7,False,36.1,Bear,30.4,25.5,0.13x,-8.9%,32.5%,-0.21,-19.5%,-11.3%,-10.0%,-3.0%,$50.52B,48.28,$13.08,N/A,1.66
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.62,38.56,30,STRONG SELL,6/7,True,66.1,Bear,19.7,86.0,0.15x,-17.5%,31.4%,-0.82,-27.5%,+6.2%,+10.6%,-13.3%,$40.25B,25.54,$1.16,3.08%,0.35
LULU,lululemon athletica inc.,Consumer Cyclical,$173.34,25.91,30,STRONG SELL,3/7,False,41.4,Bear,29.6,20.5,0.17x,-17.6%,46.9%,-0.41,-23.0%,-15.4%,+2.2%,-12.7%,$20.56B,12.05,$14.38,N/A,1.01
META,"Meta Platforms, Inc.",Communication Servic,$646.11,20.35,30,STRONG SELL,1/7,False,44.4,Bear,19.2,10.5,0.21x,-21.1%,32.9%,-1.02,-24.9%,+4.1%,+6.0%,-17.6%,$1635.41B,27.56,$23.46,0.32%,1.28
MSTR,Strategy Inc,Technology,$132.66,6.46,30,STRONG SELL,2/7,False,43.3,Bear,26.4,46.3,0.31x,-70.0%,76.0%,-2.46,-71.3%,-22.4%,-36.4%,-63.8%,$44.08B,N/A,$-15.23,N/A,3.54
PAYC,"Paycom Software, Inc.",Technology,$123.10,3.27,30,STRONG SELL,2/7,False,30.5,Bear,42.7,43.0,0.29x,-48.2%,33.7%,-3.31,-49.0%,-19.4%,-25.1%,-43.1%,$6.76B,15.24,$8.08,N/A,N/A
NTES,"NetEase, Inc.",Communication Servic,$120.09,14.79,30,STRONG SELL,1/7,False,33.8,Bear,23.8,17.8,0.21x,-14.3%,32.7%,-0.55,-25.5%,-11.8%,-15.0%,-6.3%,$77.24B,15.82,$7.59,3.52%,0.92
SIRI,Sirius XM Holdings Inc.,Communication Servic,$21.26,35.58,30,STRONG SELL,5/7,True,53.8,Bear,17.3,46.4,0.12x,-6.7%,36.3%,-0.03,-17.4%,+3.0%,-0.3%,-5.3%,$7.16B,9.53,$2.23,4.98%,0.95
JD,"JD.com, Inc.",Consumer Cyclical,$27.25,11.48,25,STRONG SELL,1/7,False,36.0,Bear,15.2,8.2,0.24x,-20.2%,30.7%,-1.05,-24.7%,-7.3%,-11.3%,-14.0%,$40.20B,8.85,$3.08,26.52%,0.41
CDNS,"Cadence Design Systems, I",Technology,$297.17,18.89,25,STRONG SELL,3/7,False,47.9,Bear,19.6,55.1,0.29x,-18.9%,34.0%,-0.83,-28.1%,-7.3%,-6.0%,-15.1%,$80.98B,76.39,$3.89,N/A,1.00
TMUS,"T-Mobile US, Inc.",Communication Servic,$217.96,39.29,25,STRONG SELL,7/7,True,72.9,Bear,26.3,92.3,0.26x,-16.4%,23.0%,-1.11,-28.5%,+14.3%,+2.1%,-13.7%,$243.79B,22.40,$9.73,N/A,N/A
PDD,PDD Holdings Inc.,Consumer Cyclical,$100.10,15.13,25,STRONG SELL,2/7,False,33.9,Bear,19.5,16.2,0.31x,-18.2%,30.6%,-0.90,-27.5%,-6.8%,-25.6%,-15.8%,$142.11B,10.04,$9.97,N/A,-0.01
TME,Tencent Music Entertainme,Communication Servic,$15.53,9.78,25,STRONG SELL,3/7,False,38.6,Bear,19.9,17.9,0.46x,-43.4%,37.8%,-2.48,-42.5%,-6.4%,-16.9%,-39.2%,$26.16B,15.53,$1.00,8.67%,0.52
MTCH,"Match Group, Inc.",Communication Servic,$30.08,4.84,10,STRONG SELL,1/7,False,42.2,Bear,14.7,27.7,0.19x,-25.5%,28.6%,-1.60,-24.6%,-4.8%,-7.0%,-20.5%,$7.24B,12.64,$2.38,2.54%,1.31
