Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
GOOG,Alphabet Inc.,Communication Servic,$307.42,61.95,70,STRONG BUY,03-Jul,FALSE,33.2,Bear,28.5,7.6,0.25x,47.40%,28.20%,3.01,-10.90%,-7.70%,10.20%,50.30%,$3719.10B,28.47,$10.80,0.27%,1.09
COST,Costco Wholesale Corporat,Consumer Defensive,$1015.14,62.97,70,STRONG BUY,07-Jul,TRUE,67.7,Bull,32.6,99.5,0.28x,-0.30%,19.20%,0.4,-14.40%,6.20%,9.90%,4.70%,$450.68B,54.34,$18.68,0.51%,1.01
VRTX,Vertex Pharmaceuticals In,Healthcare,$492.39,64.19,70,STRONG BUY,05-Jul,TRUE,63,Bull,15.9,88.1,0.41x,20.10%,26.00%,1.71,-9.30%,12.20%,13.30%,25.40%,$126.25B,32.18,$15.30,N/A,0.32
MAR,"Marriott International, I",Consumer Cyclical,$355.64,67.06,70,STRONG BUY,05-Jul,TRUE,71.6,Bear,30.1,75.4,0.12x,28.20%,27.10%,2.12,-7.40%,9.20%,24.00%,34.80%,$94.24B,37.36,$9.52,0.74%,1.1
ZM,"Zoom Communications, Inc.",Technology,$91.67,55.65,70,STRONG BUY,03-Jul,FALSE,53.6,Bear,16.5,43.1,0.25x,22.40%,38.90%,1.34,-10.30%,12.50%,9.10%,25.30%,$27.42B,17.83,$5.14,N/A,0.9
WERN,"Werner Enterprises, Inc.",Industrials,$32.79,44.01,70,STRONG BUY,02-Jul,FALSE,44.9,Bear,30.6,23.3,0.08x,11.20%,39.90%,0.86,-21.30%,-2.20%,33.70%,18.20%,$1.96B,N/A,$-0.24,1.72%,1.07
PSTG,"Pure Storage, Inc.",Technology,$73.90,49.86,70,STRONG BUY,04-Jul,TRUE,53.5,Bear,10.2,77.1,0.15x,19.80%,77.10%,0.91,-34.90%,2.10%,-12.00%,26.10%,$24.40B,194.49,$0.38,N/A,1.27
FTNT,"Fortinet, Inc.",Technology,$84.97,53.23,70,STRONG BUY,04-Jul,TRUE,57.7,Bear,22.6,68,0.15x,2.80%,29.70%,0.54,-13.90%,11.30%,4.90%,7.40%,$65.11B,35.11,$2.42,N/A,1.05
CSCO,"Cisco Systems, Inc.",Technology,$74.06,36.24,70,STRONG BUY,01-Jul,FALSE,38.9,Bear,36.3,4.3,0.31x,2.10%,28.40%,0.51,-14.70%,-1.60%,-3.80%,13.20%,$292.60B,26.64,$2.78,2.19%,0.86
ODFL,Old Dominion Freight Line,Industrials,$192.04,55.77,65,BUY,04-Jul,TRUE,58.8,Bear,38.7,56.9,0.11x,21.40%,37.50%,1.34,-20.50%,7.80%,42.10%,27.50%,$40.36B,39.68,$4.84,0.60%,1.27
ON,ON Semiconductor Corporat,Technology,$70.99,68.96,65,BUY,07-Jul,TRUE,70.1,Bear,28.7,83.5,0.14x,32.50%,45.10%,1.56,-18.50%,17.80%,47.50%,38.90%,$28.56B,244.78,$0.29,N/A,1.54
NXPI,NXP Semiconductors N.V.,Technology,$241.20,53.08,65,BUY,05-Jul,TRUE,56.3,Bear,19.2,69.3,0.06x,1.30%,37.50%,0.42,-22.60%,1.10%,20.40%,6.40%,$60.81B,30.38,$7.94,1.67%,1.46
HSAI,Hesai Group,Consumer Cyclical,$25.69,39.35,65,BUY,03-Jul,FALSE,51.7,Bear,22.6,53.7,0.10x,6.00%,74.00%,0.6,-49.60%,-10.20%,29.90%,0.40%,$4.12B,55.85,$0.46,N/A,1.15
GILD,"Gilead Sciences, Inc.",Healthcare,$155.06,68.92,65,BUY,06-Jul,TRUE,70.4,Bear,47.1,88.7,0.14x,26.60%,26.00%,2.1,-7.00%,27.90%,24.70%,32.80%,$192.43B,22.84,$6.79,2.08%,0.39
RULE,Adaptive Core ETF,N/A,$25.14,51.62,65,BUY,03-Jul,FALSE,53.5,Bear,20.6,42.9,0.00x,6.00%,17.90%,1.06,-8.00%,2.10%,11.10%,11.50%,N/A,29.53,N/A,N/A,N/A
TSM,Taiwan Semiconductor Manu,Technology,$369.85,72.89,65,BUY,06-Jul,TRUE,67.5,Bear,22,83.3,0.27x,49.80%,34.50%,2.6,-10.50%,8.30%,31.40%,55.70%,$1918.23B,35.12,$10.53,N/A,1.27
CRWD,"CrowdStrike Holdings, Inc",Technology,$427.53,32.25,60,BUY,03-Jul,FALSE,46,Bull,27.1,47,0.26x,-5.30%,39.60%,0.09,-32.40%,-6.00%,-19.30%,-0.10%,$107.78B,N/A,$-1.28,N/A,1.03
TECH,Bio-Techne Corporation,Healthcare,$59.86,37.25,60,BUY,02-Jul,FALSE,37.3,Bear,22.8,15.3,0.19x,5.50%,38.90%,0.61,-16.60%,-14.40%,-1.30%,12.00%,$9.37B,112.94,$0.53,0.54%,1.47
REGN,Regeneron Pharmaceuticals,Healthcare,$798.98,68.02,60,BUY,06-Jul,TRUE,60.7,Bear,13.1,100,0.14x,38.40%,34.80%,2.14,-12.00%,7.70%,15.10%,38.00%,$84.47B,19.27,$41.46,0.45%,0.41
KLAC,KLA Corporation,Technology,$1481.27,53.56,60,BUY,03-Jul,FALSE,54.4,Bear,16.2,48.1,0.16x,52.30%,49.20%,2.02,-22.40%,-4.10%,27.70%,70.00%,$194.63B,43.07,$34.39,0.51%,1.46
MDLZ,"Mondelez International, I",Consumer Defensive,$61.76,58.04,60,BUY,07-Jul,TRUE,72.7,Bear,30,85.7,0.14x,-3.20%,19.70%,0.1,-18.60%,7.80%,9.40%,1.20%,$79.70B,32.68,$1.89,3.14%,0.4
NVAX,"Novavax, Inc.",Healthcare,$8.79,43.14,60,BUY,04-Jul,TRUE,54,Bear,26.9,40.3,0.11x,-4.90%,64.90%,0.26,-35.90%,13.00%,24.50%,-8.20%,$1.43B,4.37,$2.01,N/A,2.58
GS,"The Goldman Sachs Group, ",Financial Services,$896.28,42.97,60,BUY,01-Jul,FALSE,42.9,Bear,19.8,27.4,0.44x,17.30%,26.50%,1.52,-8.80%,-8.20%,11.80%,23.90%,$271.45B,17.48,$51.29,1.55%,1.31
DXCM,"DexCom, Inc.",Healthcare,$71.10,38.27,55,WEAK BUY,04-Jul,TRUE,53.6,Bear,26.2,65.9,0.51x,-15.40%,42.90%,-0.37,-33.30%,2.70%,19.10%,-12.20%,$27.88B,34.02,$2.09,N/A,1.49
HOLX,"Hologic, Inc.",Healthcare,$75.01,48.46,55,WEAK BUY,04-Jul,TRUE,54,Bear,15.2,59.9,0.16x,4.50%,17.90%,0.9,-7.90%,0.00%,1.00%,10.60%,$16.75B,31.13,$2.41,N/A,0.73
CHTR,"Charter Communications, I",Communication Servic,$239.26,45.67,55,WEAK BUY,06-Jul,TRUE,67.1,Bear,36.6,85.5,0.12x,-15.30%,34.70%,-0.55,-35.30%,22.90%,16.80%,-10.70%,$30.96B,6.61,$36.21,N/A,1.05
ISRG,"Intuitive Surgical, Inc.",Healthcare,$492.30,36.61,55,WEAK BUY,03-Jul,FALSE,38.6,Bull,35.7,38.4,0.14x,-2.20%,33.40%,0.22,-19.70%,-9.10%,-12.90%,2.50%,$174.83B,62.71,$7.85,N/A,1.66
FAST,Fastenal Company,Industrials,$45.68,44.91,55,WEAK BUY,05-Jul,TRUE,55.8,Bear,25.5,51.5,0.14x,-10.40%,25.10%,-0.46,-21.90%,5.50%,12.70%,-5.50%,$52.45B,41.91,$1.09,1.92%,0.89
WFG,West Fraser Timber Co. Lt,Basic Materials,$72.38,44.06,55,WEAK BUY,05-Jul,TRUE,55.7,Bear,35.5,50.2,0.20x,-9.10%,32.10%,-0.21,-24.50%,4.40%,21.00%,-2.80%,$5.68B,N/A,$-12.08,1.74%,1.27
INTC,Intel Corporation,Technology,$47.42,57.6,50,HOLD,03-Jul,FALSE,51.9,Bear,19,51.4,0.20x,109.10%,71.90%,2.42,-21.80%,-1.90%,32.00%,93.10%,$236.85B,N/A,$-0.06,N/A,1.38
AAPL,Apple Inc.,Technology,$260.62,32.51,50,HOLD,0/7,FALSE,43.9,Bear,22.8,30.2,0.22x,7.60%,21.70%,1.04,-13.80%,1.00%,-4.40%,12.70%,$3830.87B,32.99,$7.90,0.39%,1.11
NVDA,NVIDIA Corporation,Technology,$184.77,31.91,50,HOLD,02-Jul,FALSE,49.3,Bear,11.6,58.6,0.31x,-2.50%,34.70%,0.21,-17.40%,-1.20%,-1.10%,2.40%,$4499.98B,45.75,$4.04,0.02%,2.31
TSLA,"Tesla, Inc.",Consumer Cyclical,$417.39,43.77,50,HOLD,03-Jul,FALSE,44.9,Bear,23.4,56.7,0.23x,18.70%,44.50%,1.1,-18.90%,-4.80%,3.80%,26.30%,$1566.49B,386.54,$1.08,N/A,1.89
STZ,"Constellation Brands, Inc",Consumer Defensive,$154.50,31.43,50,HOLD,03-Jul,FALSE,46.4,Bear,40.4,16,0.56x,-12.30%,29.30%,-0.49,-24.10%,-2.00%,19.90%,-6.80%,$26.90B,24.29,$6.36,2.51%,0.44
MDB,"MongoDB, Inc.",Technology,$363.80,47.54,50,HOLD,02-Jul,FALSE,45.5,Bear,26.4,41.8,0.16x,71.10%,75.40%,1.79,-25.90%,-6.50%,3.60%,66.70%,$29.61B,N/A,$-0.82,N/A,1.39
SBUX,Starbucks Corporation,Consumer Cyclical,$95.35,45.54,50,HOLD,04-Jul,TRUE,53.1,Bear,40.4,33.3,0.13x,-1.60%,28.30%,0.25,-15.20%,2.20%,11.10%,6.00%,$108.63B,79.46,$1.20,2.56%,0.94
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$96.37,34.36,45,WEAK SELL,04-Jul,TRUE,52.5,Bear,24.3,48.6,0.14x,-10.40%,19.90%,-0.63,-16.20%,2.90%,-2.00%,-5.10%,$81.35B,32.45,$2.97,N/A,0.62
PYPL,"PayPal Holdings, Inc.",Financial Services,$39.62,10.87,45,WEAK SELL,02-Jul,FALSE,19.5,Bear,51.6,6.4,0.18x,-48.00%,41.80%,-2.55,-48.50%,-30.20%,-39.20%,-42.60%,$37.06B,7.32,$5.41,0.72%,1.42
NFLX,"Netflix, Inc.",Communication Servic,$76.61,14.52,45,WEAK SELL,03-Jul,FALSE,26.5,Bear,30.9,12.3,0.22x,-40.70%,29.80%,-2.92,-39.90%,-13.00%,-33.60%,-38.20%,$324.95B,30.28,$2.53,N/A,1.71
PAYX,"Paychex, Inc.",Technology,$93.14,10.21,45,WEAK SELL,02-Jul,FALSE,24.8,Bear,45.6,11.3,0.24x,-35.70%,21.70%,-3.43,-33.00%,-14.80%,-15.80%,-31.30%,$33.47B,21.09,$4.42,4.56%,0.89
ZK,ZEEKR Intelligent Technol,Consumer Cyclical,$26.73,25.22,40,SELL,03-Jul,FALSE,39.9,Bear,27.3,53.1,0.00x,-9.60%,28.10%,-0.94,-15.60%,-0.40%,-8.20%,0.00%,$6.85B,N/A,$-1.28,N/A,N/A
MELI,"MercadoLibre, Inc.",Consumer Cyclical,$1994.04,17.78,40,SELL,01-Jul,FALSE,40.7,Bear,19.3,18.9,0.15x,-18.60%,40.20%,-0.61,-24.30%,-5.00%,-1.80%,-16.60%,$101.09B,48.71,$40.94,N/A,1.45
ZUMZ,Zumiez Inc.,Consumer Cyclical,$24.35,43.45,40,SELL,02-Jul,FALSE,42.8,Bear,26.5,37,0.17x,48.10%,46.80%,1.97,-21.60%,-5.80%,7.30%,57.20%,$0.41B,59.4,$0.41,N/A,0.89
TTD,"The Trade Desk, Inc.",Communication Servic,$26.14,7.26,40,SELL,02-Jul,FALSE,25.8,Bear,43.3,2.7,0.19x,-56.20%,45.20%,-3.02,-52.80%,-27.80%,-39.00%,-49.80%,$12.78B,29.7,$0.88,N/A,1.09
TTWO,Take-Two Interactive Soft,Communication Servic,$194.00,18.48,40,SELL,02-Jul,FALSE,30.4,Bear,43.3,8.9,0.18x,-22.10%,30.30%,-1.2,-27.40%,-20.60%,-18.30%,-16.40%,$35.92B,N/A,$-22.58,N/A,0.93
TMDX,"TransMedics Group, Inc.",Healthcare,$131.27,27.72,40,SELL,01-Jul,FALSE,46.3,Bear,18.7,22.8,0.13x,-4.90%,49.10%,0.18,-19.80%,-8.60%,13.60%,2.90%,$4.49B,51.68,$2.54,N/A,1.98
AVGO,Broadcom Inc.,Technology,$329.38,28.82,40,SELL,02-Jul,FALSE,46.8,Bear,16.4,59.7,0.17x,2.70%,47.90%,0.47,-25.30%,-4.00%,-2.90%,7.90%,$1562.15B,69.07,$4.77,0.73%,1.22
QCOM,QUALCOMM Incorporated,Technology,$139.20,21.33,40,SELL,02-Jul,FALSE,29.9,Bear,40.3,26.9,0.34x,-14.40%,34.70%,-0.5,-27.00%,-13.70%,-19.80%,-10.90%,$148.67B,28.06,$4.96,2.54%,1.24
ZS,"Zscaler, Inc.",Technology,$177.81,7.38,40,SELL,01-Jul,FALSE,33.7,Bear,41.9,22.6,0.25x,-40.30%,39.60%,-2.08,-50.20%,-15.60%,-42.40%,-35.30%,$28.37B,N/A,$-0.26,N/A,1.02
WDAY,"Workday, Inc.",Technology,$146.82,10.84,35,SELL,02-Jul,FALSE,26,Bear,52.7,11.8,0.20x,-38.50%,37.10%,-2.1,-41.80%,-23.80%,-34.30%,-35.10%,$39.20B,61.69,$2.38,N/A,1.12
VRSK,"Verisk Analytics, Inc.",Industrials,$179.20,10.13,35,SELL,02-Jul,FALSE,28,Bear,48.3,26.3,0.19x,-36.20%,29.80%,-2.47,-37.70%,-19.30%,-17.50%,-32.80%,$25.04B,27.57,$6.50,0.97%,0.8
VRSN,"VeriSign, Inc.",Technology,$218.96,15.79,35,SELL,02-Jul,FALSE,30,Bear,29.5,22.3,0.16x,-21.90%,23.50%,-1.6,-25.20%,-12.10%,-12.70%,-18.40%,$20.30B,24.85,$8.81,1.06%,0.75
AMZN,"Amazon.com, Inc.",Consumer Cyclical,$199.07,16.51,35,SELL,01-Jul,FALSE,23.2,Bear,26.5,3.6,0.26x,-15.60%,31.10%,-0.68,-21.60%,-16.40%,-16.20%,-13.80%,$2136.89B,27.76,$7.17,N/A,1.39
INTU,Intuit Inc.,Technology,$400.73,5.77,35,SELL,02-Jul,FALSE,20.1,Bear,57.3,6.6,0.23x,-47.80%,33.40%,-3.28,-44.30%,-27.70%,-38.20%,-43.90%,$111.56B,27.5,$14.57,1.09%,1.23
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,$9.97,5.87,35,SELL,01-Jul,FALSE,19.3,Bear,30.4,4.4,0.58x,-49.50%,49.80%,-2.18,-47.90%,-28.80%,-32.60%,-43.40%,$1.16B,16.61,$0.60,N/A,N/A
WKHS,"Workhorse Group, Inc.",Consumer Cyclical,$3.91,9.25,35,SELL,03-Jul,FALSE,28.1,Bear,37.4,10.6,0.19x,-86.50%,98.00%,-3.04,-81.90%,-24.20%,-50.50%,-80.30%,$0.03B,0.05,$78.24,N/A,N/A
MSFT,Microsoft Corporation,Technology,$404.27,14.09,35,SELL,02-Jul,FALSE,34.1,Bear,35.1,13.1,0.19x,-26.30%,24.80%,-1.94,-27.20%,-11.50%,-19.50%,-22.00%,$3005.28B,25.29,$15.99,0.87%,1.08
SHAK,Shake Shack Inc.,Consumer Cyclical,$87.64,14.5,35,SELL,01-Jul,FALSE,42.2,Bear,19.9,8.6,0.14x,-23.20%,39.80%,-0.9,-27.90%,-13.00%,-2.90%,-18.10%,$3.74B,85.93,$1.02,N/A,1.75
UPLD,"Upland Software, Inc.",Technology,$1.00,11.66,35,SELL,02-Jul,FALSE,19.8,Bear,39.3,4.2,0.27x,-51.40%,69.10%,-1.52,-66.40%,-34.20%,-46.50%,-45.70%,$0.03B,N/A,$-1.75,N/A,1.22
TCOM,Trip.com Group Limited,Consumer Cyclical,$54.19,22.8,35,SELL,03-Jul,FALSE,27.3,Bear,35.1,8.1,0.29x,-16.70%,42.60%,-0.45,-31.40%,-11.60%,-27.30%,-13.10%,$35.41B,14.45,$3.75,N/A,-0.18
TEAM,Atlassian Corporation,Technology,$87.67,7.92,35,SELL,02-Jul,FALSE,22.2,Bear,42.9,7.8,0.24x,-50.80%,46.60%,-2.47,-52.60%,-31.70%,-42.30%,-47.50%,$23.12B,N/A,$-0.72,N/A,0.88
PCRX,"Pacira BioSciences, Inc.",Healthcare,$22.17,33.12,35,SELL,05-Jul,TRUE,53.8,Bear,24.2,99,0.05x,-15.70%,38.90%,-0.48,-29.60%,7.40%,-6.10%,-10.50%,$0.95B,47.18,$0.47,N/A,0.23
DDOG,"Datadog, Inc.",Technology,$126.65,27.63,30,STRONG SELL,04-Jul,TRUE,49.5,Bear,20.9,55.6,0.21x,-5.90%,58.90%,0.19,-46.60%,4.80%,-31.90%,-0.50%,$44.41B,395.8,$0.32,N/A,1.29
SWKS,"Skyworks Solutions, Inc.",Technology,$61.13,26.54,30,STRONG SELL,04-Jul,TRUE,51.7,Bear,19.2,69.7,0.06x,-19.50%,38.20%,-0.72,-32.60%,4.60%,-9.30%,-16.30%,$9.19B,23.42,$2.61,4.64%,1.32
SNPS,"Synopsys, Inc.",Technology,$440.77,18.76,30,STRONG SELL,02-Jul,FALSE,42.7,Bear,32.4,31.8,0.14x,-33.00%,68.60%,-0.61,-38.60%,-13.30%,11.90%,-28.70%,$84.33B,54.48,$8.09,N/A,1.13
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$632.29,20.83,30,STRONG SELL,02-Jul,FALSE,36.5,Bear,30.4,26.3,0.11x,-9.00%,32.50%,-0.2,-19.50%,-11.20%,-9.90%,-2.80%,$50.59B,48.34,$13.08,N/A,1.66
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.47,38.43,30,STRONG SELL,06-Jul,TRUE,63.9,Bear,19.7,81.7,0.13x,-18.20%,31.50%,-0.85,-27.50%,5.60%,10.00%,-13.80%,$40.03B,25.4,$1.16,3.08%,0.35
LULU,lululemon athletica inc.,Consumer Cyclical,$173.62,25.94,30,STRONG SELL,03-Jul,FALSE,41.6,Bear,29.6,21.7,0.16x,-17.70%,47.00%,-0.41,-23.00%,-15.30%,2.30%,-12.50%,$20.59B,12.07,$14.38,N/A,1.01
META,"Meta Platforms, Inc.",Communication Servic,$649.65,20.48,30,STRONG SELL,01-Jul,FALSE,45.3,Bear,19.2,13.8,0.20x,-20.90%,32.90%,-0.99,-24.90%,4.60%,6.60%,-17.10%,$1643.15B,27.69,$23.46,0.32%,1.28
MSTR,Strategy Inc,Technology,$134.24,10.2,30,STRONG SELL,03-Jul,FALSE,44.1,Bear,26.4,48.9,0.28x,-69.80%,76.30%,-2.42,-71.30%,-21.50%,-35.60%,-63.40%,$44.62B,N/A,$-15.23,N/A,3.54
PAYC,"Paycom Software, Inc.",Technology,$123.96,3.5,30,STRONG SELL,02-Jul,FALSE,31.9,Bear,42.7,45,0.28x,-48.10%,33.90%,-3.26,-49.00%,-18.90%,-24.50%,-42.70%,$6.81B,15.34,$8.08,N/A,N/A
NTES,"NetEase, Inc.",Communication Servic,$120.27,14.83,30,STRONG SELL,01-Jul,FALSE,34.2,Bear,23.8,18.8,0.20x,-14.40%,32.70%,-0.54,-25.50%,-11.60%,-14.80%,-6.10%,$77.36B,15.85,$7.59,3.52%,0.92
SIRI,Sirius XM Holdings Inc.,Communication Servic,$21.31,35.62,30,STRONG SELL,05-Jul,TRUE,54.2,Bear,17.3,47.6,0.11x,-6.80%,36.30%,-0.02,-17.40%,3.20%,-0.10%,-5.10%,$7.17B,9.55,$2.23,4.98%,0.95
JD,"JD.com, Inc.",Consumer Cyclical,$27.30,11.54,25,STRONG SELL,01-Jul,FALSE,36.3,Bear,15.2,9.8,0.23x,-20.30%,30.70%,-1.04,-24.50%,-7.20%,-11.10%,-13.90%,$40.27B,8.86,$3.08,26.52%,0.41
CDNS,"Cadence Design Systems, I",Technology,$297.64,18.93,25,STRONG SELL,03-Jul,FALSE,48.1,Bear,19.6,55.9,0.26x,-19.00%,34.00%,-0.82,-28.10%,-7.20%,-5.80%,-14.90%,$81.10B,76.51,$3.89,N/A,1
TMUS,"T-Mobile US, Inc.",Communication Servic,$217.46,39.2,25,STRONG SELL,07-Jul,TRUE,72.6,Bear,26.3,91,0.24x,-16.80%,23.00%,-1.13,-28.50%,14.10%,1.80%,-13.90%,$243.23B,22.35,$9.73,N/A,N/A
TME,Tencent Music Entertainme,Communication Servic,$15.56,9.84,25,STRONG SELL,03-Jul,FALSE,39,Bear,19.9,19.1,0.42x,-43.50%,37.80%,-2.47,-42.50%,-6.20%,-16.70%,-39.10%,$26.21B,15.56,$1.00,8.67%,0.52
PDD,PDD Holdings Inc.,Consumer Cyclical,$100.49,10.17,20,STRONG SELL,01-Jul,FALSE,35,Bear,19.5,20.8,0.30x,-18.10%,30.60%,-0.88,-27.40%,-6.50%,-25.30%,-15.50%,$142.66B,10.08,$9.97,N/A,-0.01
MTCH,"Match Group, Inc.",Communication Servic,$30.15,4.91,10,STRONG SELL,01-Jul,FALSE,42.6,Bear,14.7,29.2,0.15x,-25.60%,28.60%,-1.58,-24.60%,-4.60%,-6.80%,-20.30%,$7.26B,12.67,$2.38,2.54%,1.31
