Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
DXCM,"DexCom, Inc.",Healthcare,$73.26,48.54,60,BUY,6/7,True,59.1,Bear,24.0,83.2,0.89x,-9.3%,41.5%,-0.01,-32.1%,+0.5%,+25.4%,+0.0%,$28.57B,35.05,$2.09,N/A,1.49,NO EDGE,Do not trade
COST,Costco Wholesale Corporat,Consumer Defensive,$986.02,47.46,50,HOLD,5/7,True,55.3,Bear,27.6,33.9,0.67x,-0.7%,18.9%,0.51,-13.1%,+0.4%,+10.5%,+0.0%,$437.75B,52.90,$18.64,0.51%,1.01,NO EDGE,Do not trade
HSAI,Hesai Group,Consumer Cyclical,$27.54,45.79,80,STRONG BUY,4/7,True,57.6,Bear,24.7,75.5,0.93x,+12.1%,71.7%,0.79,-49.6%,-1.4%,+83.2%,+0.0%,$4.42B,59.87,$0.46,N/A,1.15,NO EDGE,Do not trade
TMDX,"TransMedics Group, Inc.",Healthcare,$134.65,45.39,60,BUY,4/7,True,50.7,Bear,15.1,55.8,0.91x,+11.4%,49.1%,0.85,-19.5%,-0.5%,+8.7%,+0.0%,$4.60B,53.01,$2.54,N/A,1.98,NO EDGE,Do not trade
INTC,Intel Corporation,Technology,$43.63,44.02,55,WEAK BUY,1/7,False,43.4,Bear,17.8,8.7,0.54x,+72.0%,70.2%,1.98,-21.8%,-3.2%,+29.8%,+0.0%,$217.94B,N/A,$-0.06,N/A,1.38,NO EDGE,Do not trade
MDLZ,"Mondelez International, I",Consumer Defensive,$60.38,44.01,45,WEAK SELL,5/7,True,57.1,Bear,23.1,49.6,0.81x,-6.6%,21.1%,-0.07,-18.6%,+3.4%,+9.3%,+0.0%,$77.91B,31.95,$1.89,3.30%,0.40,NO EDGE,Do not trade
WERN,"Werner Enterprises, Inc.",Industrials,$32.80,42.21,75,STRONG BUY,2/7,False,45.1,Bear,25.6,23.4,0.78x,+8.7%,40.6%,0.83,-20.2%,-3.1%,+42.3%,+0.0%,$1.96B,N/A,$-0.24,1.58%,1.07,NO EDGE,Do not trade
GS,"The Goldman Sachs Group, ",Financial Services,$892.31,39.99,60,BUY,1/7,False,42.5,Bear,15.3,23.5,1.05x,+16.3%,26.7%,1.57,-8.8%,-2.9%,+15.9%,+0.0%,$270.12B,17.39,$51.31,1.52%,1.31,NO EDGE,Do not trade
ZM,"Zoom Communications, Inc.",Technology,$86.06,37.84,65,BUY,1/7,False,42.5,Bear,16.3,23.8,1.37x,+0.1%,36.2%,0.44,-10.6%,+0.3%,+9.7%,+0.0%,$25.76B,16.74,$5.14,N/A,0.90,NO EDGE,Do not trade
SIRI,Sirius XM Holdings Inc.,Communication Servic,$20.96,37.67,50,HOLD,3/7,False,50.9,Bear,15.8,37.2,0.47x,-12.6%,34.8%,-0.30,-17.4%,+3.5%,+6.6%,+0.0%,$7.05B,9.40,$2.23,5.13%,0.95,NO EDGE,Do not trade
CHTR,"Charter Communications, I",Communication Servic,$227.52,36.94,55,WEAK BUY,4/7,True,55.1,Bear,33.6,46.9,0.53x,-22.5%,34.8%,-0.96,-35.3%,+18.7%,+16.9%,+0.0%,$29.44B,6.28,$36.22,N/A,1.05,NO EDGE,Do not trade
MDB,"MongoDB, Inc.",Technology,$305.37,36.59,70,STRONG BUY,1/7,False,32.4,Bear,28.7,8.2,1.85x,+34.1%,77.5%,1.20,-30.7%,-23.4%,-7.2%,+0.0%,$24.85B,N/A,$-0.82,N/A,1.39,NO EDGE,Do not trade
PCRX,"Pacira BioSciences, Inc.",Healthcare,$23.11,35.01,25,STRONG SELL,5/7,True,59.6,Bear,23.3,85.4,0.86x,-14.6%,39.4%,-0.33,-29.6%,+11.8%,+1.4%,+0.0%,$0.99B,49.17,$0.47,N/A,0.23,NO EDGE,Do not trade
ILMN,"Illumina, Inc.",Healthcare,$120.54,34.89,50,HOLD,2/7,False,38.8,Bear,41.0,25.9,0.80x,+15.2%,53.7%,0.93,-25.7%,-19.8%,+1.1%,+0.0%,$18.43B,22.12,$5.45,N/A,1.45,NO EDGE,Do not trade
FAST,Fastenal Company,Industrials,$45.05,33.83,50,HOLD,3/7,False,50.0,Bear,20.7,8.6,0.76x,-15.1%,25.5%,-0.74,-21.7%,+3.2%,+15.7%,+0.0%,$51.73B,41.33,$1.09,1.89%,0.89,NO EDGE,Do not trade
TSLA,"Tesla, Inc.",Consumer Cyclical,$399.83,33.57,45,WEAK SELL,2/7,False,37.5,Bear,24.2,25.2,1.15x,+9.6%,44.1%,0.83,-18.9%,-11.0%,+1.2%,+0.0%,$1500.33B,370.21,$1.08,N/A,1.89,NO EDGE,Do not trade
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$95.35,32.68,50,HOLD,4/7,True,50.8,Bear,19.7,52.8,1.21x,-12.7%,21.1%,-0.68,-16.2%,-3.9%,-3.7%,+0.0%,$80.49B,32.10,$2.97,N/A,0.62,NO EDGE,Do not trade
AVGO,Broadcom Inc.,Technology,$330.34,31.6,45,WEAK SELL,2/7,False,47.5,Bear,17.5,61.4,0.67x,+7.0%,48.2%,0.70,-25.3%,+3.2%,-4.6%,+0.0%,$1566.23B,69.40,$4.76,0.73%,1.22,NO EDGE,Do not trade
ISRG,"Intuitive Surgical, Inc.",Healthcare,$492.10,31.25,45,WEAK SELL,3/7,False,40.6,Bear,35.0,67.6,0.82x,-0.7%,33.6%,0.40,-19.7%,-6.1%,-10.9%,+0.0%,$174.76B,62.53,$7.87,N/A,1.66,NO EDGE,Do not trade
PSTG,"Pure Storage, Inc.",Technology,$68.44,29.87,65,BUY,1/7,False,44.3,Bear,8.9,34.5,1.29x,+10.2%,78.2%,0.74,-34.9%,-1.9%,-11.4%,+0.0%,$22.60B,180.11,$0.38,N/A,1.27,NO EDGE,Do not trade
WFG,West Fraser Timber Co. Lt,Basic Materials,$65.75,29.86,60,BUY,2/7,False,37.3,Bear,29.4,5.3,1.28x,-18.1%,32.7%,-0.72,-24.5%,-8.9%,+13.2%,+0.0%,$5.16B,N/A,$-12.08,1.90%,1.27,NO EDGE,Do not trade
META,"Meta Platforms, Inc.",Communication Servic,$637.25,28.22,45,WEAK SELL,3/7,False,43.0,Bear,16.0,10.2,0.50x,-21.0%,33.3%,-0.91,-24.4%,-3.3%,+8.3%,+0.0%,$1611.96B,27.11,$23.51,0.32%,1.28,NO EDGE,Do not trade
TECH,Bio-Techne Corporation,Healthcare,$54.76,27.8,65,BUY,1/7,False,29.5,Bear,26.3,3.6,1.22x,-8.9%,39.2%,-0.03,-23.2%,-19.6%,-6.6%,+0.0%,$8.57B,103.32,$0.53,0.56%,1.47,NO EDGE,Do not trade
LULU,lululemon athletica inc.,Consumer Cyclical,$178.11,26.29,30,STRONG SELL,3/7,False,45.7,Bear,24.1,40.3,0.99x,-17.7%,47.4%,-0.35,-22.4%,-6.8%,+8.1%,+0.0%,$21.12B,12.39,$14.37,N/A,1.01,NO EDGE,Do not trade
PDD,PDD Holdings Inc.,Consumer Cyclical,$105.76,25.49,40,SELL,4/7,True,50.7,Bear,16.4,75.0,0.89x,-23.2%,29.7%,-1.23,-27.4%,-0.6%,-6.3%,+0.0%,$150.14B,10.61,$9.97,N/A,-0.01,NO EDGE,Do not trade
QCOM,QUALCOMM Incorporated,Technology,$140.41,25.1,40,SELL,3/7,False,35.8,Bear,38.6,37.0,0.71x,-15.0%,35.1%,-0.45,-27.0%,-9.9%,-11.6%,+0.0%,$149.96B,28.31,$4.96,2.46%,1.24,NO EDGE,Do not trade
PYPL,"PayPal Holdings, Inc.",Financial Services,$44.05,24.88,60,BUY,4/7,True,40.5,Bear,48.1,77.3,2.25x,-42.2%,43.2%,-1.95,-48.5%,-22.2%,-24.2%,+0.0%,$41.22B,8.14,$5.41,0.67%,1.42,NO EDGE,Do not trade
NXPI,NXP Semiconductors N.V.,Technology,$231.16,24.25,30,STRONG SELL,2/7,False,48.1,Bear,21.0,48.9,0.51x,-7.1%,37.5%,0.05,-22.6%,-0.6%,+26.1%,+0.0%,$58.28B,29.08,$7.95,1.75%,1.46,NO EDGE,Do not trade
AMZN,"Amazon.com, Inc.",Consumer Cyclical,$205.27,23.41,45,WEAK SELL,2/7,False,35.6,Bear,30.2,18.4,0.84x,-15.7%,31.3%,-0.59,-21.7%,-14.2%,-5.5%,+0.0%,$2203.56B,28.67,$7.16,N/A,1.39,NO EDGE,Do not trade
CRWD,"CrowdStrike Holdings, Inc",Technology,$350.33,22.83,65,BUY,1/7,False,28.4,Bear,28.0,8.1,3.55x,-22.1%,44.1%,-0.65,-37.2%,-22.6%,-30.1%,+0.0%,$88.32B,N/A,$-1.26,N/A,1.03,NO EDGE,Do not trade
SNPS,"Synopsys, Inc.",Technology,$420.82,22.46,30,STRONG SELL,3/7,False,38.7,Bear,27.7,29.5,0.82x,-35.2%,70.0%,-0.64,-37.3%,-16.1%,+9.1%,+0.0%,$80.51B,52.08,$8.08,N/A,1.13,NO EDGE,Do not trade
SHAK,Shake Shack Inc.,Consumer Cyclical,$89.56,22.17,35,SELL,2/7,False,45.5,Bear,16.5,21.2,0.88x,-20.0%,40.5%,-0.62,-27.8%,-2.9%,+7.0%,+0.0%,$3.82B,87.80,$1.02,N/A,1.75,NO EDGE,Do not trade
MTCH,"Match Group, Inc.",Communication Servic,$30.88,21.41,35,SELL,3/7,False,47.9,Bear,13.0,45.1,0.60x,-21.7%,29.7%,-1.11,-24.6%,-0.6%,-0.6%,+0.0%,$7.43B,12.97,$2.38,2.39%,1.31,NO EDGE,Do not trade
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$623.13,21.3,30,STRONG SELL,2/7,False,35.9,Bear,36.7,37.5,0.98x,-8.6%,32.7%,-0.08,-19.5%,-10.2%,-9.6%,+0.0%,$49.85B,47.60,$13.09,N/A,1.66,NO EDGE,Do not trade
TTWO,Take-Two Interactive Soft,Communication Servic,$195.59,19.16,40,SELL,2/7,False,34.3,Bear,42.2,21.3,0.58x,-21.3%,30.9%,-1.03,-27.4%,-20.4%,-16.9%,+0.0%,$36.22B,N/A,$-22.57,N/A,0.93,NO EDGE,Do not trade
NTES,"NetEase, Inc.",Communication Servic,$116.33,18.07,45,WEAK SELL,1/7,False,29.6,Bear,27.7,9.8,0.54x,-19.2%,32.4%,-0.81,-26.7%,-12.0%,-12.8%,+0.0%,$74.82B,15.33,$7.59,3.51%,0.92,NO EDGE,Do not trade
MELI,"MercadoLibre, Inc.",Consumer Cyclical,$1864.46,18.01,60,BUY,0/7,False,31.5,Bear,20.6,5.0,1.46x,-28.3%,41.1%,-1.11,-25.7%,-12.8%,-1.9%,+0.0%,$94.52B,45.45,$41.02,N/A,1.45,NO EDGE,Do not trade
TCOM,Trip.com Group Limited,Consumer Cyclical,$52.93,16.69,45,WEAK SELL,1/7,False,29.1,Bear,36.4,2.5,0.83x,-25.4%,42.7%,-0.88,-33.0%,-15.8%,-24.2%,+0.0%,$34.60B,14.11,$3.75,N/A,-0.18,NO EDGE,Do not trade
FTNT,"Fortinet, Inc.",Technology,$75.60,16.62,35,SELL,0/7,False,38.3,Bear,18.3,6.7,1.10x,-8.3%,30.2%,-0.09,-13.9%,-7.4%,-3.1%,+0.0%,$57.93B,31.24,$2.42,N/A,1.05,NO EDGE,Do not trade
VRSN,"VeriSign, Inc.",Technology,$211.49,13.95,45,WEAK SELL,1/7,False,27.5,Bear,37.5,8.0,1.17x,-25.8%,23.8%,-1.87,-26.4%,-15.3%,-14.5%,+0.0%,$19.61B,23.98,$8.82,1.07%,0.75,NO EDGE,Do not trade
SWKS,"Skyworks Solutions, Inc.",Technology,$59.78,13.56,15,STRONG SELL,2/7,False,47.3,Bear,16.9,53.8,0.59x,-26.2%,38.7%,-1.06,-32.6%,+1.4%,-1.2%,+0.0%,$8.99B,22.90,$2.61,4.70%,1.32,NO EDGE,Do not trade
ZS,"Zscaler, Inc.",Technology,$143.28,12.6,55,WEAK BUY,2/7,False,19.4,Bear,44.1,3.0,2.08x,-52.6%,43.1%,-2.80,-57.4%,-31.6%,-48.8%,+0.0%,$22.85B,N/A,$-0.26,N/A,1.02,NO EDGE,Do not trade
NFLX,"Netflix, Inc.",Communication Servic,$76.02,11.89,50,HOLD,2/7,False,31.9,Bear,30.7,10.5,0.90x,-43.3%,30.3%,-3.06,-39.9%,-11.7%,-28.1%,+0.0%,$322.47B,30.05,$2.53,N/A,1.71,NO EDGE,Do not trade
MSFT,Microsoft Corporation,Technology,$384.47,11.19,40,SELL,1/7,False,27.9,Bear,36.1,3.5,0.94x,-29.1%,25.4%,-2.08,-28.8%,-17.3%,-19.5%,+0.0%,$2857.53B,24.04,$15.99,0.88%,1.08,NO EDGE,Do not trade
CDNS,"Cadence Design Systems, I",Technology,$279.80,11.09,25,STRONG SELL,1/7,False,41.7,Bear,17.0,34.8,1.06x,-24.7%,37.7%,-1.00,-28.1%,-12.1%,-7.4%,+0.0%,$76.24B,71.93,$3.89,N/A,1.00,NO EDGE,Do not trade
INTU,Intuit Inc.,Technology,$359.55,10.6,55,WEAK BUY,2/7,False,18.4,Bear,62.8,8.7,1.22x,-50.8%,34.7%,-3.38,-48.6%,-36.2%,-43.5%,+0.0%,$100.10B,24.69,$14.56,1.14%,1.23,NO EDGE,Do not trade
WDAY,"Workday, Inc.",Technology,$129.21,10.04,45,WEAK SELL,2/7,False,17.3,Bear,57.1,7.6,1.25x,-47.9%,37.9%,-2.79,-47.8%,-31.7%,-40.4%,+0.0%,$34.50B,54.75,$2.36,N/A,1.12,NO EDGE,Do not trade
MSTR,Strategy Inc,Technology,$123.71,9.83,40,SELL,2/7,False,40.5,Bear,25.9,54.2,0.73x,-69.7%,76.2%,-2.36,-70.3%,-24.2%,-30.2%,+0.0%,$41.29B,N/A,$-15.23,N/A,3.54,NO EDGE,Do not trade
DDOG,"Datadog, Inc.",Technology,$102.61,9.45,25,STRONG SELL,1/7,False,31.8,Bear,18.6,3.7,1.55x,-25.8%,61.7%,-0.47,-48.6%,-21.1%,-35.7%,+0.0%,$35.98B,331.02,$0.31,N/A,1.29,NO EDGE,Do not trade
JD,"JD.com, Inc.",Consumer Cyclical,$27.23,8.7,15,STRONG SELL,1/7,False,37.9,Bear,18.0,25.8,0.86x,-20.6%,30.6%,-0.98,-25.0%,-8.7%,-4.1%,+0.0%,$40.18B,8.84,$3.08,26.63%,0.41,NO EDGE,Do not trade
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,$10.06,8.55,40,SELL,1/7,False,30.2,Bear,36.7,14.9,0.87x,-46.6%,52.8%,-1.79,-49.8%,-24.0%,-24.7%,+0.0%,$1.18B,32.45,$0.31,N/A,0.93,NO EDGE,Do not trade
VRSK,"Verisk Analytics, Inc.",Industrials,$181.60,8.16,40,SELL,1/7,False,35.3,Bear,41.4,43.5,1.08x,-37.5%,30.6%,-2.44,-37.7%,-16.7%,-18.0%,+0.0%,$25.37B,27.94,$6.50,0.99%,0.80,NO EDGE,Do not trade
TTD,"The Trade Desk, Inc.",Communication Servic,$24.17,7.23,45,WEAK SELL,2/7,False,22.2,Bear,46.3,2.7,0.89x,-59.6%,43.7%,-3.41,-56.3%,-33.9%,-37.0%,+0.0%,$11.82B,27.47,$0.88,N/A,1.09,NO EDGE,Do not trade
WKHS,"Workhorse Group, Inc.",Consumer Cyclical,$3.32,6.24,35,SELL,2/7,False,22.5,Bear,46.0,1.2,0.67x,-86.1%,98.8%,-2.90,-80.1%,-33.6%,-70.4%,+0.0%,$0.03B,0.04,$78.24,N/A,N/A,NO EDGE,Do not trade
TEAM,Atlassian Corporation,Technology,$68.81,3.33,45,WEAK SELL,1/7,False,15.8,Bear,49.6,1.3,1.37x,-64.9%,49.1%,-3.49,-62.3%,-47.8%,-52.2%,+0.0%,$18.15B,N/A,$-0.72,N/A,0.88,NO EDGE,Do not trade
TME,Tencent Music Entertainme,Communication Servic,$14.71,2.72,30,STRONG SELL,1/7,False,33.6,Bear,22.2,3.7,0.93x,-48.5%,38.9%,-2.77,-44.2%,-12.4%,-16.8%,+0.0%,$24.77B,14.71,$1.00,8.64%,0.52,NO EDGE,Do not trade
UPLD,"Upland Software, Inc.",Technology,$0.94,1.51,45,WEAK SELL,1/7,False,23.6,Bear,45.7,10.0,0.86x,-72.8%,53.7%,-3.95,-66.7%,-35.5%,-46.8%,+0.0%,$0.03B,N/A,$-1.75,N/A,1.22,NO EDGE,Do not trade
PAYX,"Paychex, Inc.",Technology,$87.39,1.25,35,SELL,1/7,False,22.2,Bear,49.2,2.5,1.13x,-41.3%,22.8%,-3.89,-36.1%,-17.2%,-18.6%,+0.0%,$31.37B,19.77,$4.42,4.63%,0.89,NO EDGE,Do not trade
PAYC,"Paycom Software, Inc.",Technology,$114.43,-0.19,40,SELL,1/7,False,27.5,Bear,46.0,32.2,1.27x,-56.0%,34.3%,-4.02,-49.7%,-24.9%,-28.3%,+0.0%,$6.28B,14.16,$8.08,1.31%,0.80,NO EDGE,Do not trade
